Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-3.762655	2.950463	-0.812192
0.005	-3.211591	2.586604	-0.624987
0.01	-2.676214	2.202447	-0.473767
0.015	-2.264045	1.81989	-0.444155
0.02	-1.796277	1.386768	-0.409509
0.025	-1.524557	1.013842	-0.510715
0.03	-1.378759	0.657545	-0.721214
0.035	-1.190459	0.293601	-0.896858
0.04	-0.757322	-0.081085	-0.838407
0.045	-0.152967	-0.424115	-0.577082
0.05	0.475658	-0.758352	-0.282694
0.055	0.878224	-1.087806	-0.209582
0.06	1.552254	-1.382131	0.170123
0.065	2.13523	-1.655354	0.479876
0.07	2.589275	-1.934421	0.654854
0.075	2.975209	-2.226071	0.749138
0.08	3.117868	-2.504352	0.613516
0.085	3.267614	-2.727547	0.540067
0.09	3.336421	-2.964538	0.371883
0.095	3.367067	-3.200856	0.166211
0.1	3.823277	-3.424723	0.398554
0.105	4.209722	-3.662707	0.547015
0.11	4.382008	-3.834788	0.54722
0.115	4.386906	-3.985575	0.401331
0.12	4.567357	-4.139062	0.428295
0.125	4.829558	-4.303421	0.526137
0.13	5.187773	-4.430396	0.757377
0.135	5.482011	-4.519993	0.962018
0.14	5.415913	-4.619431	0.796482
0.145	5.323447	-4.681708	0.641739
0.15	5.206735	-4.729186	0.477549
0.155	5.017217	-4.734778	0.282439
0.16	5.022769	-4.762459	0.26031
0.165	5.013399	-4.751445	0.261954
0.17	5.028393	-4.760182	0.268211
0.175	5.113571	-4.755937	0.357634
0.18	5.238357	-4.718884	0.519473
0.185	5.190521	-4.666851	0.52367
0.19	5.0869	-4.624005	0.462895
0.195	5.002714	-4.583837	0.418877
0.2	4.956867	-4.515642	0.441225
0.205	4.746865	-4.404658	0.342207
0.21	4.53756	-4.320549	0.217011
0.215	4.425217	-4.224413	0.200804
0.22	4.331903	-4.120395	0.211508
0.225	4.234206	-3.981298	0.252908
0.23	4.085169	-3.869599	0.21557
0.235	3.888799	-3.742987	0.145812
0.24	3.74543	-3.621572	0.123858
0.245	3.544858	-3.468956	0.075902
0.25	3.381508	-3.329969	0.051539
0.255	3.249395	-3.224686	0.024709
0.26	3.193165	-3.070646	0.122519
0.265	3.128184	-2.895184	0.233
0.27	3.10114	-2.721685	0.379455
0.275	3.066688	-2.579908	0.48678
0.28	2.981314	-2.42709	0.554224
0.285	2.91709	-2.246745	0.670345
0.29	2.864307	-2.083096	0.781211
0.295	2.819591	-1.925942	0.893649
0.3	2.766186	-1.786991	0.979195
0.305	2.686237	-1.631846	1.054391
0.31	2.334212	-1.451772	0.88244
0.315	1.816319	-1.297197	0.519122
0.32	1.409811	-1.129005	0.280806
0.325	1.001278	-0.950381	0.050897
0.33	0.739277	-0.802374	-0.063097
0.335	0.567225	-0.676585	-0.10936
0.34	0.456119	-0.537778	-0.081659
0.345	0.232451	-0.387475	-0.155024
0.35	0.032196	-0.229654	-0.197458
0.355	-0.140088	-0.121817	-0.261905
0.36	-0.154692	0.005943	-0.148749
0.365	-0.246406	0.163621	-0.082785
0.37	-0.336394	0.279301	-0.057093
0.375	-0.358979	0.382667	0.023688
0.38	-0.451515	0.475455	0.02394
0.385	-0.588467	0.603303	0.014836
0.39	-0.584823	0.702377	0.117554
0.395	-0.578459	0.770066	0.191607
0.4	-0.564011	0.846039	0.282028
0.405	-0.617059	0.923669	0.30661
0.41	-0.721695	0.970103	0.248408
0.415	-0.805923	1.030147	0.224224
0.42	-0.897885	1.06874	0.170855
0.425	-0.936205	1.132637	0.196432
0.43	-0.927152	1.178687	0.251535
0.435	-0.882593	1.227729	0.345136
0.44	-0.793354	1.23139	0.438036
0.445	-0.7616	1.272518	0.510918
0.45	-0.800393	1.303715	0.503322
0.455	-0.854714	1.301455	0.446741
0.46	-0.901508	1.294347	0.392839
0.465	-0.935574	1.317428	0.381854
