Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-7.137968	-54.551594	-61.689562
0.005	-7.133162	-54.527863	-61.661025
0.01	-7.156911	-54.497916	-61.654827
0.015	-7.196766	-54.473759	-61.670525
0.02	-7.199521	-54.452325	-61.651846
0.025	-7.123936	-54.410981	-61.534917
0.03	-7.139029	-54.386831	-61.52586
0.035	-7.201128	-54.355723	-61.556851
0.04	-7.314324	-54.328586	-61.64291
0.045	-7.51913	-54.290859	-61.809989
0.05	-7.778351	-54.258361	-62.036712
0.055	-8.016747	-54.219607	-62.236354
0.06	-8.149104	-54.164993	-62.314097
0.065	-8.224131	-54.129524	-62.353655
0.07	-8.175161	-54.070408	-62.245569
0.075	-8.092868	-54.004392	-62.09726
0.08	-8.056646	-53.98611	-62.042756
0.085	-8.103272	-53.955662	-62.058934
0.09	-8.115429	-53.926727	-62.042156
0.095	-8.122197	-53.879811	-62.002008
0.1	-8.170025	-53.829148	-61.999173
0.105	-8.160021	-53.79948	-61.959501
0.11	-8.135554	-53.78565	-61.921204
0.115	-8.151302	-53.761486	-61.912788
0.12	-8.271	-53.729413	-62.000413
0.125	-8.368697	-53.68417	-62.052867
0.13	-8.467182	-53.634088	-62.10127
0.135	-8.559658	-53.600128	-62.159786
0.14	-8.632879	-53.564287	-62.197166
0.145	-8.665111	-53.531722	-62.196833
0.15	-8.621297	-53.512892	-62.134189
0.155	-8.55585	-53.465749	-62.021599
0.16	-8.490409	-53.441694	-61.932103
0.165	-8.477207	-53.41342	-61.890627
0.17	-8.440051	-53.370447	-61.810498
0.175	-8.404952	-53.332167	-61.737119
0.18	-8.398976	-53.303133	-61.702109
0.185	-8.40092	-53.265106	-61.666026
0.19	-8.449387	-53.232247	-61.681634
0.195	-8.505569	-53.202223	-61.707792
0.2	-8.553898	-53.183943	-61.737841
0.205	-8.588177	-53.174687	-61.762864
0.21	-8.624332	-53.159685	-61.784017
0.215	-8.660945	-53.124172	-61.785117
0.22	-8.691644	-53.100436	-61.79208
0.225	-8.71615	-53.093817	-61.809967
0.23	-8.734065	-53.06675	-61.800815
0.235	-8.757423	-53.039064	-61.796487
0.24	-8.803256	-53.030204	-61.83346
0.245	-8.829711	-53.011681	-61.841392
0.25	-8.847669	-52.99292	-61.840589
0.255	-8.865663	-52.973484	-61.839147
0.26	-8.882075	-52.958191	-61.840266
0.265	-8.919396	-52.958077	-61.877473
0.27	-8.978518	-52.956726	-61.935244
0.275	-9.043097	-52.944487	-61.987584
0.28	-9.15034	-52.922455	-62.072795
0.285	-9.248863	-52.920476	-62.169339
0.29	-9.28992	-52.924339	-62.214259
0.295	-9.32686	-52.905191	-62.232051
0.3	-9.358207	-52.896982	-62.255189
0.305	-9.375789	-52.901001	-62.27679
0.31	-9.388524	-52.89687	-62.285394
0.315	-9.406069	-52.86972	-62.275789
0.32	-9.434611	-52.863349	-62.29796
0.325	-9.446195	-52.851941	-62.298136
0.33	-9.446323	-52.851362	-62.297685
0.335	-9.442598	-52.866452	-62.30905
0.34	-9.431424	-52.870738	-62.302162
0.345	-9.422009	-52.861736	-62.283745
0.35	-9.415198	-52.864967	-62.280165
0.355	-9.407004	-52.876368	-62.283372
0.36	-9.402449	-52.872339	-62.274788
0.365	-9.409712	-52.87922	-62.288932
0.37	-9.446989	-52.87775	-62.324739
0.375	-9.483716	-52.86046	-62.344176
0.38	-9.492352	-52.853453	-62.345805
0.385	-9.516949	-52.84447	-62.361419
0.39	-9.540288	-52.842165	-62.382453
0.395	-9.557608	-52.831871	-62.389479
0.4	-9.576517	-52.817221	-62.393738
0.405	-9.599079	-52.817766	-62.416845
0.41	-9.595062	-52.809262	-62.404324
0.415	-9.589005	-52.807191	-62.396196
0.42	-9.589455	-52.824928	-62.414383
0.425	-9.568676	-52.817967	-62.386643
0.43	-9.539775	-52.807921	-62.347696
0.435	-9.516966	-52.795771	-62.312737
0.44	-9.513937	-52.791306	-62.305243
0.445	-9.507661	-52.790466	-62.298127
0.45	-9.495691	-52.788745	-62.284436
0.455	-9.491152	-52.786499	-62.277651
0.46	-9.504123	-52.76885	-62.272973
0.465	-9.511613	-52.758102	-62.269715
0.47	-9.557833	-52.741476	-62.299309
0.475	-9.604046	-52.725416	-62.329462
0.48	-9.612432	-52.732888	-62.34532
0.485	-9.62714	-52.731935	-62.359075
0.49	-9.632771	-52.738609	-62.37138
0.495	-9.629105	-52.732244	-62.361349
0.5	-9.617505	-52.723427	-62.340932
0.505	-9.617242	-52.714591	-62.331833
0.51	-9.614608	-52.698188	-62.312796
0.515	-9.601232	-52.685132	-62.286364
0.52	-9.596889	-52.69692	-62.293809
0.525	-9.600359	-52.688741	-62.2891
0.53	-9.60988	-52.679741	-62.289621
0.535	-9.621443	-52.672361	-62.293804
0.54	-9.619485	-52.663061	-62.282546
0.545	-9.617718	-52.650935	-62.268653
0.55	-9.621205	-52.631137	-62.252342
0.555	-9.604578	-52.609414	-62.213992
0.56	-9.584831	-52.588569	-62.1734
0.565	-9.562747	-52.581484	-62.144231
0.57	-9.542711	-52.565813	-62.108524
0.575	-9.519832	-52.54655	-62.066382
0.58	-9.510109	-52.528208	-62.038317
0.585	-9.522525	-52.505699	-62.028224
0.59	-9.543663	-52.462786	-62.006449
0.595	-9.554731	-52.40661	-61.961341
0.6	-9.55408	-52.361508	-61.915588
0.605	-9.550886	-52.292776	-61.843662
0.61	-9.55529	-52.219131	-61.774421
0.615	-9.605369	-52.136057	-61.741426
0.62	-9.695791	-52.053654	-61.749445
0.625	-9.876567	-51.949216	-61.825783
0.63	-10.101947	-51.838262	-61.940209
0.635	-10.295922	-51.668208	-61.96413
0.64	-10.55856	-51.493184	-62.051744
0.645	-10.751842	-51.297038	-62.04888
0.65	-10.903019	-51.065576	-61.968595
0.655	-11.535925	-50.77672	-62.312645
0.66	-12.256969	-50.465992	-62.722961
0.665	-12.698463	-50.114823	-62.813286
0.67	-12.981302	-49.712829	-62.694131
0.675	-12.718835	-49.273601	-61.992436
0.68	-12.415811	-48.770202	-61.186013
0.685	-11.301446	-48.193955	-59.495401
0.69	-9.244966	-47.592076	-56.837042
0.695	-6.293478	-46.919178	-53.212656
0.7	-3.819736	-46.149806	-49.969542
0.705	-1.907193	-45.331963	-47.239156
0.71	-0.57344	-44.476919	-45.050359
0.715	1.224893	-43.536212	-42.311319
0.72	2.857699	-42.545958	-39.688259
0.725	4.187978	-41.487712	-37.299734
0.73	5.302233	-40.34369	-35.041457
0.735	6.916489	-39.154982	-32.238493
0.74	8.03457	-37.857382	-29.822812
0.745	8.84572	-36.513387	-27.667667
0.75	9.680698	-35.092452	-25.411754
0.755	10.608999	-33.612867	-23.003868
0.76	11.410728	-32.094447	-20.683719
0.765	12.46603	-30.503347	-18.037317
0.77	13.642121	-28.879328	-15.237207
0.775	14.09127	-27.195702	-13.104432
0.78	14.857833	-25.43117	-10.573337
0.785	15.719001	-23.6179	-7.898899
0.79	16.531799	-21.786065	-5.254266
0.795	18.296013	-19.926364	-1.630351
0.8	19.862831	-18.013352	1.849479
0.805	21.290194	-16.072322	5.217872
0.81	22.198533	-14.084693	8.11384
0.815	23.051146	-12.055206	10.99594
0.82	23.417463	-10.050896	13.366567
0.825	24.159562	-8.010743	16.148819
0.83	24.858299	-5.86148	18.996819
0.835	25.598883	-3.794958	21.803925
0.84	26.297605	-1.637116	24.660489
0.845	27.024516	0.442235	27.466751
0.85	27.495507	2.457608	29.953115
0.855	27.861263	4.555555	32.416818
0.86	28.189404	6.634746	34.82415
0.865	28.247009	8.652906	36.899915
0.87	27.963089	10.61564	38.578729
0.875	27.37497	12.61853	39.9935
0.88	26.809066	14.555435	41.364501
0.885	27.026425	16.471592	43.498017
0.89	27.350127	18.405452	45.755579
0.895	27.093299	20.233931	47.32723
0.9	26.482127	22.044575	48.526702
0.905	25.501773	23.768019	49.269792
0.91	24.093252	25.458903	49.552155
0.915	22.120407	27.080582	49.200989
0.92	19.809731	28.685589	48.49532
0.925	18.201383	30.196923	48.398306
0.93	17.071582	31.640016	48.711598
0.935	16.351094	33.04721	49.398304
0.94	15.748315	34.311875	50.06019
0.945	14.191624	35.573397	49.765021
0.95	12.312762	36.756519	49.069281
0.955	10.554259	37.919705	48.473964
0.96	9.112858	38.951398	48.064256
0.965	8.163392	39.913044	48.076436
0.97	7.234177	40.82241	48.056587
0.975	6.378915	41.622284	48.001199
0.98	5.472034	42.448209	47.920243
0.985	4.721436	43.155008	47.876444
0.99	4.129313	43.789279	47.918592
0.995	3.241203	44.355905	47.597108
1	2.105431	44.89828	47.003711
1.005	1.634685	45.406219	47.040904
1.01	1.396991	45.869604	47.266595
1.015	0.77716	46.292604	47.069764
1.02	0.441832	46.654486	47.096318
1.025	0.46457	46.975294	47.439864
1.03	0.65797	47.247	47.90497
1.035	0.144782	47.523829	47.668611
1.04	-0.079282	47.78031	47.701028
1.045	-0.340575	47.979289	47.638714
1.05	-0.609727	48.157313	47.547586
1.055	-1.043487	48.298302	47.254815
1.06	-0.816405	48.436266	47.619861
1.065	-0.754616	48.549397	47.794781
1.07	-0.82545	48.601379	47.775929
1.075	-1.221184	48.645568	47.424384
1.08	-1.509917	48.733332	47.223415
1.085	-1.749951	48.777365	47.027414
1.09	-2.003647	48.801675	46.798028
1.095	-1.889997	48.831704	46.941707
1.1	-1.773474	48.834963	47.061489
1.105	-1.692046	48.839322	47.147276
1.11	-1.669529	48.861292	47.191763
1.115	-1.008517	48.837977	47.82946
1.12	-0.031772	48.851795	48.820023
1.125	0.656967	48.835059	49.492026
1.13	1.017126	48.781589	49.798715
1.135	3.77513	48.770881	52.546011
1.14	6.805616	48.72363	55.529246
1.145	8.729214	48.718108	57.447322
1.15	9.703717	48.69459	58.398307
1.155	10.816572	48.652578	59.46915
1.16	11.209596	48.625263	59.834859
1.165	11.345642	48.564774	59.910416
1.17	11.477484	48.498531	59.976015
1.175	11.571722	48.50251	60.074232
1.18	11.695757	48.507312	60.203069
1.185	11.754224	48.46004	60.214264
1.19	11.81631	48.44805	60.26436
1.195	11.790448	48.392588	60.183036
1.2	11.831898	48.345414	60.177312
