Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-1.957165	1.02505	-0.932115
0.005	-1.998752	1.042324	-0.956428
0.01	-2.058538	1.056623	-1.001915
0.015	-2.121849	1.049274	-1.072575
0.02	-2.205539	1.06923	-1.136309
0.025	-2.273342	1.0914	-1.181942
0.03	-2.23558	1.077933	-1.157647
0.035	-2.199991	1.071952	-1.128039
0.04	-2.161387	1.076158	-1.085229
0.045	-2.112786	1.068854	-1.043932
0.05	-2.054632	1.036969	-1.017663
0.055	-1.99557	0.999317	-0.996253
0.06	-1.941187	1.009413	-0.931774
0.065	-1.893152	0.976701	-0.916451
0.07	-1.854375	0.942952	-0.911423
0.075	-1.817763	0.88951	-0.928253
0.08	-1.78447	0.887978	-0.896492
0.085	-1.756321	0.847514	-0.908807
0.09	-1.778808	0.806753	-0.972055
0.095	-1.807653	0.763744	-1.043909
0.1	-1.807295	0.751048	-1.056247
0.105	-1.797094	0.726912	-1.070182
0.11	-1.776579	0.681679	-1.0949
0.115	-1.764306	0.642861	-1.121445
0.12	-1.782597	0.618507	-1.16409
0.125	-1.771232	0.605974	-1.165258
0.13	-1.756346	0.579506	-1.17684
0.135	-1.739418	0.518369	-1.221049
0.14	-1.721013	0.509953	-1.21106
0.145	-1.703911	0.490019	-1.213892
0.15	-1.640627	0.466964	-1.173663
0.155	-1.573844	0.435138	-1.138706
0.16	-1.550096	0.41837	-1.131726
0.165	-1.535005	0.401274	-1.133731
0.17	-1.499511	0.371258	-1.128253
0.175	-1.451826	0.345193	-1.106633
0.18	-1.385692	0.33283	-1.052862
0.185	-1.309885	0.308594	-1.001291
0.19	-1.231403	0.290784	-0.940619
0.195	-1.147712	0.260091	-0.887621
0.2	-1.055298	0.256795	-0.798503
0.205	-1.017727	0.246478	-0.771249
0.21	-0.992739	0.20705	-0.785689
0.215	-0.96868	0.1596	-0.80908
0.22	-0.933698	0.160928	-0.77277
0.225	-0.896089	0.166613	-0.729476
0.23	-0.892937	0.168397	-0.72454
0.235	-0.890783	0.14526	-0.745523
0.24	-0.841568	0.138623	-0.702945
0.245	-0.806844	0.121072	-0.685772
0.25	-0.765541	0.111053	-0.654488
0.255	-0.711006	0.108551	-0.602455
0.26	-0.614958	0.10188	-0.513078
0.265	-0.534714	0.096217	-0.438497
