Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-2.921772	2.50806	-0.413712
0.005	-2.915949	2.511181	-0.404768
0.01	-2.908953	2.512936	-0.396017
0.015	-2.908289	2.537973	-0.370316
0.02	-2.941577	2.551503	-0.390074
0.025	-2.993535	2.552325	-0.44121
0.03	-3.036194	2.547046	-0.489148
0.035	-3.141798	2.578798	-0.563
0.04	-3.155553	2.587707	-0.567846
0.045	-3.166291	2.591085	-0.575206
0.05	-3.185305	2.60411	-0.581195
0.055	-3.19312	2.624137	-0.568983
0.06	-3.218407	2.645158	-0.573249
0.065	-3.242955	2.65412	-0.588835
0.07	-3.236076	2.657921	-0.578155
0.075	-3.223923	2.677373	-0.54655
0.08	-3.22033	2.703683	-0.516647
0.085	-3.223029	2.730047	-0.492982
0.09	-3.234529	2.737806	-0.496723
0.095	-3.290751	2.776127	-0.514624
0.1	-3.345191	2.798317	-0.546874
0.105	-3.400465	2.802055	-0.59841
0.11	-3.411458	2.784672	-0.626786
0.115	-3.430031	2.803612	-0.626419
0.12	-3.45069	2.819559	-0.631131
0.125	-3.450826	2.810589	-0.640237
0.13	-3.490078	2.777593	-0.712485
0.135	-3.47711	2.792565	-0.684545
0.14	-3.464801	2.799518	-0.665283
0.145	-3.44951	2.765567	-0.683943
0.15	-3.447985	2.736972	-0.711013
0.155	-3.396866	2.727549	-0.669317
0.16	-3.269437	2.655922	-0.613515
0.165	-3.12139	2.587654	-0.533736
0.17	-3.040033	2.496697	-0.543336
0.175	-2.980243	2.433515	-0.546728
0.18	-2.888561	2.332094	-0.556467
0.185	-2.80701	2.205365	-0.601645
0.19	-2.71013	2.072325	-0.637805
0.195	-2.47028	1.949486	-0.520794
0.2	-2.209514	1.794964	-0.41455
0.205	-1.90091	1.62033	-0.28058
0.21	-1.46081	1.430822	-0.029988
0.215	-1.138217	1.242924	0.104707
0.22	-0.728939	1.05148	0.322541
0.225	-0.370493	0.823904	0.453411
0.23	0.384219	0.572952	0.957171
0.235	1.041376	0.33871	1.380086
0.24	1.530904	0.052601	1.583505
0.245	1.93946	-0.280156	1.659304
0.25	2.197064	-0.623229	1.573835
0.255	2.665509	-0.968328	1.697181
0.26	3.172568	-1.339459	1.833109
0.265	3.635193	-1.744987	1.890206
0.27	3.94938	-2.173111	1.776269
0.275	4.535245	-2.587032	1.948213
0.28	5.037629	-3.054352	1.983277
0.285	5.256833	-3.55124	1.705593
0.29	5.467916	-4.080587	1.387329
0.295	5.600178	-4.624045	0.976133
0.3	5.823669	-5.147267	0.676402
0.305	6.649186	-5.729568	0.919618
0.31	7.490637	-6.342794	1.147843
0.315	7.922234	-6.977737	0.944497
0.32	7.691044	-7.653408	0.037636
0.325	7.01753	-8.333671	-1.316141
0.33	5.886527	-9.028252	-3.141725
0.335	4.920895	-9.707947	-4.787052
0.34	4.231628	-10.435343	-6.203715
0.345	2.504396	-11.19218	-8.687784
0.35	0.534426	-11.952079	-11.417653
0.355	-1.063827	-12.745394	-13.809221
0.36	-2.393437	-13.553795	-15.947232
0.365	-3.579736	-14.405652	-17.985388
0.37	-5.20644	-15.252571	-20.459011
0.375	-6.477201	-16.142027	-22.619228
0.38	-7.729483	-17.05114	-24.780623
0.385	-9.225126	-17.94631	-27.171436
0.39	-10.252756	-18.900866	-29.153622
0.395	-11.435327	-19.851449	-31.286776
0.4	-11.974102	-20.776114	-32.750216
0.405	-12.995362	-21.745056	-34.740418
0.41	-14.956251	-22.744782	-37.701033
0.415	-16.598144	-23.735472	-40.333616
0.42	-17.892939	-24.741841	-42.63478
0.425	-18.787194	-25.769648	-44.556842
0.43	-20.132476	-26.804412	-46.936888
0.435	-21.457644	-27.844347	-49.301991
0.44	-22.069963	-28.868037	-50.938
0.445	-22.930012	-29.931732	-52.861744
0.45	-23.634677	-30.985782	-54.620459
0.455	-24.068267	-32.033052	-56.101319
0.46	-24.585805	-33.12199	-57.707795
0.465	-24.808877	-34.151909	-58.960786
0.47	-24.926501	-35.201461	-60.127962
0.475	-25.194235	-36.252249	-61.446484
0.48	-25.344813	-37.262051	-62.606864
0.485	-25.142368	-38.261728	-63.404096
0.49	-24.318493	-39.245815	-63.564308
0.495	-23.196464	-40.240158	-63.436622
0.5	-21.993096	-41.201579	-63.194675
0.505	-20.978444	-42.16484	-63.143284
0.51	-20.127738	-43.099638	-63.227376
0.515	-19.339178	-43.971977	-63.311155
0.52	-18.838841	-44.866686	-63.705527
0.525	-17.734288	-45.706258	-63.440546
0.53	-16.824125	-46.518162	-63.342287
0.535	-16.06079	-47.306232	-63.367022
0.54	-15.417385	-48.084652	-63.502037
0.545	-14.911014	-48.77837	-63.689384
0.55	-14.583118	-49.448961	-64.032079
0.555	-14.261895	-50.086809	-64.348704
0.56	-13.763287	-50.672529	-64.435816
0.565	-13.359437	-51.240081	-64.599518
0.57	-12.575827	-51.748045	-64.323872
0.575	-11.775372	-52.228829	-64.004201
0.58	-10.786449	-52.689531	-63.47598
0.585	-10.02461	-53.113309	-63.137919
0.59	-9.395758	-53.499622	-62.89538
0.595	-8.984767	-53.857498	-62.842265
0.6	-8.637432	-54.176985	-62.814417
0.605	-8.358786	-54.4878	-62.846586
0.61	-8.00153	-54.774078	-62.775608
0.615	-7.779915	-55.038234	-62.818149
0.62	-7.616596	-55.26323	-62.879826
0.625	-7.452092	-55.460628	-62.91272
0.63	-7.183183	-55.621397	-62.80458
0.635	-6.941896	-55.786493	-62.728389
0.64	-6.774211	-55.897655	-62.671866
0.645	-6.589134	-55.972581	-62.561715
0.65	-6.462863	-56.067979	-62.530842
0.655	-6.456274	-56.151719	-62.607993
0.66	-6.437923	-56.19858	-62.636503
0.665	-6.544279	-56.214816	-62.759095
0.67	-6.602382	-56.227973	-62.830355
0.675	-6.732005	-56.227328	-62.959333
0.68	-6.76309	-56.210532	-62.973622
0.685	-6.815862	-56.183595	-62.999457
0.69	-6.825165	-56.164215	-62.98938
0.695	-6.866512	-56.145374	-63.011886
0.7	-6.936611	-56.124147	-63.060758
0.705	-7.086091	-56.083088	-63.169179
0.71	-7.467219	-56.045335	-63.512554
0.715	-8.712574	-56.013688	-64.726262
0.72	-10.558937	-55.994749	-66.553686
0.725	-13.329675	-55.994618	-69.324293
0.73	-15.869816	-55.990437	-71.860253
0.735	-17.670252	-56.005816	-73.676068
0.74	-18.655778	-56.019109	-74.674887
0.745	-20.115628	-56.032551	-76.148179
0.75	-20.014765	-56.056553	-76.071318
0.755	-19.792875	-56.109669	-75.902544
0.76	-19.604801	-56.16538	-75.770181
0.765	-20.09505	-56.223909	-76.318959
0.77	-20.021181	-56.284028	-76.305209
0.775	-19.78298	-56.373626	-76.156606
0.78	-19.675949	-56.465756	-76.141705
0.785	-19.75389	-56.56298	-76.31687
0.79	-19.533473	-56.655752	-76.189225
0.795	-19.338747	-56.758025	-76.096772
0.8	-19.046106	-56.870623	-75.916729
0.805	-18.884641	-56.957989	-75.84263
0.81	-18.720979	-57.065161	-75.78614
0.815	-18.678823	-57.166041	-75.844864
0.82	-18.78175	-57.30777	-76.08952
0.825	-18.539542	-57.422183	-75.961725
0.83	-18.28466	-57.534808	-75.819468
0.835	-18.179179	-57.66239	-75.841569
0.84	-18.025404	-57.756136	-75.78154
0.845	-17.838995	-57.868141	-75.707136
0.85	-17.761508	-57.982887	-75.744395
0.855	-17.589653	-58.092445	-75.682098
0.86	-17.406349	-58.206614	-75.612963
0.865	-17.338295	-58.321736	-75.660031
0.87	-17.219431	-58.412289	-75.63172
0.875	-17.147081	-58.49708	-75.644161
0.88	-17.107306	-58.608244	-75.71555
0.885	-16.955936	-58.704919	-75.660855
0.89	-16.756439	-58.802189	-75.558628
0.895	-16.6062	-58.877696	-75.483896
0.9	-16.508742	-58.968505	-75.477247
0.905	-16.408113	-59.05129	-75.459403
0.91	-16.309544	-59.147554	-75.457098
0.915	-16.253481	-59.236864	-75.490345
0.92	-16.245057	-59.305931	-75.550988
0.925	-16.314412	-59.361979	-75.676391
0.93	-16.349104	-59.437078	-75.786182
0.935	-16.403315	-59.515674	-75.918989
0.94	-16.448131	-59.570892	-76.019023
0.945	-16.479032	-59.629744	-76.108776
0.95	-16.439443	-59.673006	-76.112449
0.955	-16.399695	-59.737234	-76.136929
0.96	-16.362501	-59.798204	-76.160705
0.965	-16.31047	-59.851682	-76.162152
0.97	-16.253774	-59.88786	-76.141634
0.975	-16.207474	-59.93308	-76.140554
0.98	-16.16829	-59.975681	-76.143971
0.985	-16.12784	-59.990958	-76.118798
0.99	-16.09846	-60.018172	-76.116632
0.995	-16.065876	-60.047768	-76.113644
1	-16.010597	-60.073745	-76.084342
1.005	-15.951304	-60.110721	-76.062025
1.01	-15.918379	-60.141441	-76.05982
1.015	-15.898976	-60.161434	-76.06041
1.02	-15.88146	-60.182697	-76.064157
1.025	-15.863789	-60.197602	-76.061391
1.03	-15.847602	-60.197109	-76.044711
1.035	-15.832438	-60.207626	-76.040064
1.04	-15.819751	-60.220439	-76.04019
1.045	-15.81179	-60.232596	-76.044386
1.05	-15.805942	-60.233956	-76.039898
1.055	-15.795918	-60.238348	-76.034266
1.06	-15.800252	-60.23932	-76.039572
1.065	-15.812724	-60.236712	-76.049436
1.07	-15.804305	-60.232785	-76.03709
1.075	-15.799128	-60.23077	-76.029898
1.08	-15.791734	-60.209782	-76.001516
1.085	-15.757415	-60.195667	-75.953082
1.09	-15.745071	-60.192165	-75.937236
1.095	-15.736601	-60.181165	-75.917766
1.1	-15.70692	-60.174883	-75.881803
1.105	-15.677682	-60.171093	-75.848775
1.11	-15.674311	-60.180202	-75.854513
1.115	-15.676707	-60.175364	-75.852071
1.12	-15.68389	-60.165582	-75.849472
1.125	-15.677691	-60.155976	-75.833667
1.13	-15.67401	-60.150582	-75.824592
1.135	-15.659893	-60.153187	-75.81308
1.14	-15.661879	-60.140193	-75.802072
1.145	-15.699352	-60.12808	-75.827432
1.15	-15.712496	-60.12424	-75.836736
1.155	-15.724973	-60.115358	-75.840331
1.16	-15.7375	-60.125577	-75.863077
1.165	-15.737636	-60.132341	-75.869977
1.17	-15.740717	-60.135776	-75.876493
1.175	-15.737801	-60.152325	-75.890126
1.18	-15.736636	-60.167405	-75.904041
1.185	-15.773773	-60.175811	-75.949584
1.19	-15.759828	-60.185464	-75.945292
1.195	-15.698585	-60.20593	-75.904515
1.2	-15.64813	-60.216096	-75.864226
1.205	-15.579677	-60.222566	-75.802243
1.21	-15.505784	-60.233517	-75.739301
1.215	-15.425227	-60.271675	-75.696902
1.22	-15.375292	-60.288959	-75.664251
1.225	-15.345978	-60.323896	-75.669874
1.23	-15.245301	-60.333926	-75.579227
1.235	-15.121909	-60.364181	-75.48609
1.24	-14.976246	-60.392895	-75.369141
1.245	-14.855738	-60.409705	-75.265443
1.25	-14.776778	-60.440297	-75.217075
1.255	-14.671944	-60.466228	-75.138172
1.26	-14.569486	-60.500907	-75.070393
1.265	-14.537693	-60.51565	-75.053343
1.27	-14.523794	-60.524443	-75.048237
