Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-22.836759	3.022682	-19.814077
0.005	-23.522151	2.902359	-20.619792
0.01	-23.594769	2.760148	-20.834621
0.015	-24.046843	2.640179	-21.406664
0.02	-24.345008	2.498021	-21.846987
0.025	-24.010827	2.312131	-21.698696
0.03	-23.580164	2.106962	-21.473202
0.035	-23.472087	1.903063	-21.569024
0.04	-22.88398	1.708047	-21.175933
0.045	-22.259103	1.458901	-20.800202
0.05	-22.456849	1.186228	-21.270621
0.055	-22.689122	0.935895	-21.753227
0.06	-22.927902	0.679759	-22.248143
0.065	-23.037403	0.385865	-22.651538
0.07	-22.745122	0.095694	-22.649428
0.075	-22.333601	-0.193576	-22.527177
0.08	-22.026418	-0.521671	-22.548089
0.085	-21.643162	-0.815812	-22.458974
0.09	-21.210257	-1.185411	-22.395668
0.095	-20.979131	-1.5072	-22.486331
0.1	-20.449535	-1.888336	-22.337871
0.105	-19.735612	-2.276327	-22.011939
0.11	-19.075239	-2.675844	-21.751083
0.115	-18.695361	-3.081719	-21.77708
0.12	-18.350607	-3.501653	-21.85226
0.125	-17.966599	-3.959906	-21.926505
0.13	-17.585318	-4.4169	-22.002218
0.135	-17.328191	-4.838819	-22.16701
0.14	-16.948333	-5.297636	-22.245969
0.145	-16.509545	-5.803505	-22.31305
0.15	-16.191025	-6.295268	-22.486293
0.155	-15.935239	-6.780143	-22.715382
0.16	-15.797411	-7.295113	-23.092524
0.165	-15.308607	-7.821296	-23.129903
0.17	-14.493489	-8.372557	-22.866046
0.175	-13.712696	-8.92621	-22.638906
0.18	-12.870834	-9.502345	-22.373179
0.185	-11.935716	-10.078974	-22.01469
0.19	-10.875957	-10.683082	-21.559039
0.195	-10.102336	-11.284578	-21.386914
0.2	-9.219361	-11.866402	-21.085763
0.205	-8.270382	-12.473849	-20.744231
0.21	-7.224883	-13.130841	-20.355724
0.215	-6.571955	-13.730315	-20.30227
0.22	-5.701683	-14.309901	-20.011584
0.225	-5.024643	-14.899402	-19.924045
0.23	-4.203609	-15.475465	-19.679074
0.235	-3.783674	-16.026432	-19.810106
0.24	-3.451614	-16.532518	-19.984132
0.245	-3.147695	-17.037496	-20.185191
0.25	-2.622477	-17.531323	-20.1538
0.255	-2.243186	-18.004256	-20.247442
0.26	-1.769539	-18.42667	-20.196209
0.265	-1.351778	-18.839541	-20.191319
0.27	-0.887642	-19.252307	-20.139949
0.275	-0.65551	-19.619844	-20.275354
0.28	-0.339973	-19.937877	-20.27785
0.285	-0.064719	-20.237532	-20.302251
0.29	0.612114	-20.502085	-19.889971
0.295	0.814817	-20.754945	-19.940128
0.3	0.837541	-20.953616	-20.116075
0.305	0.98131	-21.133395	-20.152085
0.31	0.873487	-21.281586	-20.408099
0.315	0.887865	-21.396931	-20.509066
0.32	1.001728	-21.504543	-20.502815
0.325	1.001105	-21.569613	-20.568508
0.33	0.816834	-21.611315	-20.794481
0.335	0.718321	-21.619106	-20.900785
0.34	0.889814	-21.62331	-20.733496
0.345	1.003224	-21.598291	-20.595067
0.35	0.862915	-21.568649	-20.705734
0.355	0.814109	-21.500584	-20.686475
0.36	0.701665	-21.406187	-20.704522
0.365	0.566159	-21.315558	-20.749399
0.37	0.317836	-21.228379	-20.910543
0.375	0.275545	-21.117509	-20.841964
0.38	0.1814	-21.012751	-20.831351
0.385	0.059566	-20.910179	-20.850613
0.39	0.095382	-20.799448	-20.704066
0.395	-0.147925	-20.66765	-20.815575
0.4	-0.327931	-20.555865	-20.883796
0.405	-0.477275	-20.432725	-20.91
0.41	-0.726622	-20.32529	-21.051912
0.415	-0.906942	-20.187323	-21.094265
0.42	-1.086249	-20.049166	-21.135415
0.425	-1.235742	-19.924807	-21.160549
0.43	-1.315028	-19.810435	-21.125463
0.435	-1.290629	-19.683239	-20.973868
0.44	-1.319391	-19.562315	-20.881706
0.445	-1.319324	-19.475098	-20.794422
0.45	-1.421222	-19.388562	-20.809784
0.455	-1.500217	-19.28557	-20.785787
0.46	-1.607859	-19.209415	-20.817274
0.465	-1.697958	-19.131907	-20.829865
0.47	-1.785528	-19.069602	-20.85513
0.475	-1.897443	-19.029763	-20.927206
0.48	-1.973973	-19.002608	-20.976581
0.485	-2.034378	-18.932654	-20.967032
0.49	-1.988871	-18.881752	-20.870623
0.495	-2.025469	-18.84308	-20.868549
0.5	-2.002593	-18.808295	-20.810888
0.505	-1.967866	-18.787064	-20.75493
0.51	-1.983092	-18.786738	-20.76983
0.515	-2.006083	-18.771444	-20.777527
0.52	-2.032757	-18.737814	-20.770571
0.525	-2.033115	-18.738478	-20.771593
0.53	-2.062445	-18.757777	-20.820222
0.535	-2.052635	-18.737965	-20.7906
0.54	-2.065858	-18.723385	-20.789243
0.545	-2.090342	-18.746979	-20.837321
0.55	-2.118627	-18.755568	-20.874195
0.555	-2.134729	-18.761324	-20.896053
0.56	-2.14317	-18.769671	-20.912841
0.565	-2.13556	-18.771492	-20.907052
0.57	-2.126307	-18.774272	-20.900579
0.575	-2.083855	-18.773171	-20.857026
0.58	-2.084879	-18.765958	-20.850837
0.585	-2.113155	-18.789733	-20.902888
0.59	-2.108471	-18.805321	-20.913792
0.595	-2.029751	-18.789459	-20.81921
0.6	-1.986341	-18.772837	-20.759178
0.605	-1.963455	-18.764591	-20.728046
0.61	-1.935702	-18.768414	-20.704116
0.615	-1.900014	-18.768761	-20.668775
0.62	-1.846985	-18.783785	-20.63077
0.625	-1.822958	-18.785106	-20.608064
0.63	-1.835891	-18.769439	-20.60533
0.635	-1.865643	-18.746722	-20.612365
0.64	-1.89283	-18.744484	-20.637314
0.645	-1.883941	-18.764796	-20.648737
0.65	-1.855253	-18.748704	-20.603957
0.655	-1.81521	-18.740116	-20.555326
0.66	-1.803749	-18.726239	-20.529988
0.665	-1.820943	-18.701707	-20.52265
0.67	-1.834956	-18.692327	-20.527283
0.675	-1.85234	-18.673381	-20.525721
0.68	-1.872271	-18.656176	-20.528447
0.685	-1.882017	-18.631035	-20.513052
0.69	-1.882832	-18.610591	-20.493423
0.695	-1.887227	-18.581237	-20.468464
0.7	-1.888362	-18.553028	-20.44139
0.705	-1.865686	-18.518025	-20.383711
0.71	-1.869692	-18.510957	-20.380649
0.715	-1.884494	-18.503586	-20.38808
0.72	-1.897338	-18.466781	-20.364119
0.725	-1.91411	-18.436361	-20.350471
0.73	-1.966434	-18.433133	-20.399567
0.735	-2.013861	-18.395656	-20.409517
0.74	-2.064815	-18.35793	-20.422745
0.745	-2.118983	-18.341495	-20.460478
0.75	-2.168972	-18.318043	-20.487015
0.755	-2.22529	-18.268756	-20.494046
0.76	-2.250821	-18.244396	-20.495217
0.765	-2.305521	-18.204263	-20.509784
0.77	-2.362946	-18.173608	-20.536554
0.775	-2.437116	-18.17132	-20.608436
0.78	-2.478968	-18.155626	-20.634594
0.785	-2.552289	-18.12603	-20.678319
0.79	-2.566535	-18.111666	-20.678201
0.795	-2.574759	-18.117441	-20.6922
0.8	-2.571304	-18.099584	-20.670888
0.805	-2.587613	-18.106552	-20.694165
0.81	-2.58625	-18.076733	-20.662983
0.815	-2.597732	-18.067106	-20.664838
0.82	-2.641483	-18.0839	-20.725383
0.825	-2.696843	-18.081246	-20.778089
0.83	-2.701688	-18.071519	-20.773207
0.835	-2.705452	-18.052698	-20.75815
0.84	-2.707445	-18.04878	-20.756225
0.845	-2.714717	-18.02913	-20.743847
0.85	-2.721129	-18.024413	-20.745542
0.855	-2.726462	-18.020113	-20.746575
0.86	-2.726697	-18.002034	-20.728731
0.865	-2.729456	-17.996208	-20.725664
0.87	-2.755326	-17.989282	-20.744608
0.875	-2.76293	-17.963159	-20.726089
0.88	-2.752587	-17.950039	-20.702626
0.885	-2.763276	-17.932031	-20.695307
0.89	-2.836251	-17.897073	-20.733324
0.895	-2.888644	-17.859259	-20.747903
0.9	-2.924167	-17.80391	-20.728077
0.905	-2.979037	-17.757963	-20.737
0.91	-3.036378	-17.720515	-20.756893
0.915	-3.075721	-17.679062	-20.754783
0.92	-3.113446	-17.608408	-20.721854
0.925	-3.220724	-17.558721	-20.779445
0.93	-3.325691	-17.496603	-20.822294
0.935	-3.415396	-17.394889	-20.810285
0.94	-3.45948	-17.303169	-20.762649
0.945	-3.499229	-17.199934	-20.699163
0.95	-3.617373	-17.095627	-20.713
