Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-9.821661	9.808206	-0.013455
0.005	-9.796759	9.676412	-0.120347
0.01	-9.668974	9.523738	-0.145236
0.015	-9.43815	9.345258	-0.092892
0.02	-9.155183	9.194486	0.039303
0.025	-8.932256	9.028542	0.096286
0.03	-8.723565	8.836368	0.112803
0.035	-8.488608	8.6114	0.122792
0.04	-8.278541	8.422221	0.14368
0.045	-8.122553	8.212028	0.089475
0.05	-7.982822	7.969872	-0.01295
0.055	-7.864091	7.729432	-0.134659
0.06	-7.774728	7.514347	-0.260381
0.065	-7.710972	7.251171	-0.459801
0.07	-7.652431	6.983812	-0.668619
0.075	-7.437189	6.726211	-0.710978
0.08	-7.211402	6.479562	-0.73184
0.085	-6.968959	6.225158	-0.743801
0.09	-6.676281	5.964943	-0.711338
0.095	-6.360327	5.685978	-0.674349
0.1	-5.926262	5.452303	-0.473959
0.105	-5.528081	5.190391	-0.33769
0.11	-5.215492	4.942755	-0.272737
0.115	-4.741773	4.683063	-0.05871
0.12	-4.28293	4.437012	0.154082
0.125	-3.903072	4.212427	0.309355
0.13	-3.573697	3.972304	0.398607
0.135	-3.136663	3.724865	0.588202
0.14	-2.699684	3.504061	0.804377
0.145	-2.302959	3.282506	0.979547
0.15	-2.013494	3.024827	1.011333
0.155	-1.704997	2.799053	1.094056
0.16	-1.466266	2.603303	1.137037
0.165	-1.496521	2.393917	0.897396
0.17	-1.57622	2.187075	0.610855
0.175	-1.775125	1.972197	0.197072
0.18	-1.757049	1.788752	0.031703
0.185	-1.542359	1.602714	0.060355
0.19	-1.33385	1.439851	0.106001
0.195	-1.290083	1.252786	-0.037297
0.2	-1.172585	1.102192	-0.070393
0.205	-1.084088	0.954245	-0.129843
0.21	-1.087017	0.781634	-0.305383
0.215	-1.06695	0.621563	-0.445387
0.22	-0.938244	0.470132	-0.468112
0.225	-0.833176	0.292792	-0.540384
0.23	-0.811086	0.097535	-0.713551
0.235	-0.607627	-0.119312	-0.726939
0.24	-0.018429	-0.316239	-0.334668
0.245	0.39133	-0.537083	-0.145753
0.25	0.763759	-0.769981	-0.006222
0.255	0.963526	-1.001782	-0.038256
0.26	1.417995	-1.212591	0.205404
0.265	1.666843	-1.443593	0.22325
0.27	1.701217	-1.667889	0.033328
0.275	1.922823	-1.87929	0.043533
0.28	2.111541	-2.074923	0.036618
0.285	2.439146	-2.263431	0.175715
0.29	2.977042	-2.450669	0.526373
0.295	3.075673	-2.663471	0.412202
0.3	3.098212	-2.842491	0.255721
0.305	3.312487	-3.007221	0.305266
0.31	3.581924	-3.172587	0.409337
0.315	3.808797	-3.355968	0.452829
0.32	3.880063	-3.503687	0.376376
0.325	4.044504	-3.650707	0.393797
0.33	4.319351	-3.807938	0.511413
0.335	4.409012	-3.968904	0.440108
0.34	4.706955	-4.11428	0.592675
0.345	4.99438	-4.247116	0.747264
0.35	5.228495	-4.363644	0.864851
0.355	5.535961	-4.480449	1.055512
0.36	5.489594	-4.594169	0.895425
0.365	5.4957	-4.690901	0.804799
0.37	5.434228	-4.76576	0.668468
0.375	5.55702	-4.821387	0.735633
0.38	5.596631	-4.863666	0.732965
0.385	5.543879	-4.922876	0.621003
0.39	5.363633	-4.952709	0.410924
0.395	5.519308	-4.979387	0.539921
0.4	5.528445	-4.997332	0.531113
0.405	5.46256	-4.994619	0.467941
0.41	5.482294	-5.007918	0.474376
0.415	5.665626	-5.01977	0.645856
0.42	5.948292	-5.002322	0.94597
0.425	6.026611	-4.979792	1.046819
0.43	6.065184	-4.955752	1.109432
0.435	6.240047	-4.916273	1.323774
