Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-2.591383	2.87043	0.279047
0.005	-2.88788	3.058835	0.170955
0.01	-3.077495	3.221011	0.143516
0.015	-3.164483	3.37417	0.209687
0.02	-3.288281	3.553603	0.265322
0.025	-3.578727	3.700097	0.12137
0.03	-3.64851	3.825273	0.176763
0.035	-3.718009	3.959868	0.241859
0.04	-4.007972	4.079033	0.071061
0.045	-4.125725	4.173615	0.04789
0.05	-4.139644	4.287319	0.147675
0.055	-4.155495	4.38663	0.231135
0.06	-4.035732	4.47788	0.442148
0.065	-4.002796	4.565667	0.562871
0.07	-4.004741	4.629712	0.624971
0.075	-4.002862	4.686214	0.683352
0.08	-3.978741	4.771813	0.793072
0.085	-3.952876	4.835604	0.882728
0.09	-3.994419	4.875344	0.880925
0.095	-3.999872	4.901975	0.902103
0.1	-3.900462	4.962235	1.061773
0.105	-3.888528	4.985891	1.097363
0.11	-3.942104	4.988316	1.046212
0.115	-4.045161	4.985864	0.940703
0.12	-4.218732	4.994303	0.775571
0.125	-4.353103	4.968047	0.614944
0.13	-4.416449	4.948775	0.532326
0.135	-4.444871	4.908626	0.463755
0.14	-4.336507	4.862661	0.526154
0.145	-4.022516	4.817602	0.795086
0.15	-3.747517	4.751383	1.003866
0.155	-3.516234	4.680094	1.16386
0.16	-3.347308	4.60074	1.253432
0.165	-3.226049	4.495037	1.268988
0.17	-3.237442	4.387817	1.150375
0.175	-3.266761	4.252096	0.985335
0.18	-3.29404	4.151141	0.857101
0.185	-3.348748	4.027098	0.67835
0.19	-3.27574	3.87676	0.60102
0.195	-3.166922	3.733855	0.566933
0.2	-3.098017	3.609011	0.510994
0.205	-3.09399	3.446819	0.352829
0.21	-3.021351	3.267306	0.245955
0.215	-2.93142	3.062683	0.131263
0.22	-2.821727	2.858555	0.036828
0.225	-2.711588	2.669473	-0.042115
0.23	-2.607261	2.450728	-0.156533
0.235	-2.520426	2.208101	-0.312325
0.24	-2.460167	1.988547	-0.47162
0.245	-2.232638	1.746915	-0.485723
0.25	-1.900855	1.465845	-0.43501
0.255	-1.568735	1.165456	-0.403279
0.26	-1.183992	0.887431	-0.296561
0.265	-0.571603	0.577596	0.005993
0.27	-0.079528	0.26445	0.184922
0.275	0.389333	-0.058068	0.331265
0.28	0.913738	-0.342773	0.570965
0.285	1.360925	-0.649596	0.711329
0.29	1.653823	-0.955719	0.698104
0.295	1.943517	-1.260984	0.682533
0.3	2.349797	-1.547904	0.801893
0.305	2.631895	-1.827465	0.80443
0.31	2.912601	-2.110425	0.802176
0.315	3.219538	-2.383626	0.835912
0.32	3.590897	-2.648021	0.942876
0.325	4.189734	-2.943124	1.24661
0.33	4.563193	-3.227644	1.335549
0.335	4.812666	-3.515276	1.29739
0.34	4.947448	-3.760218	1.18723
0.345	5.124769	-4.024901	1.099868
0.35	5.282548	-4.328083	0.954465
0.355	5.386896	-4.601364	0.785532
0.36	5.293009	-4.832684	0.460325
0.365	5.181863	-5.103325	0.078538
0.37	5.195378	-5.359427	-0.164049
0.375	5.334475	-5.593992	-0.259517
0.38	5.462143	-5.814611	-0.352468
0.385	5.755721	-6.022158	-0.266437
0.39	6.136519	-6.229353	-0.092834
0.395	6.364132	-6.442317	-0.078185
0.4	6.446908	-6.590942	-0.144034
0.405	6.548264	-6.7427	-0.194436
0.41	6.631597	-6.919491	-0.287894
0.415	6.786031	-7.08901	-0.302979
0.42	6.948509	-7.218197	-0.269688
0.425	7.199607	-7.385537	-0.18593
0.43	7.456504	-7.514837	-0.058333
0.435	7.720403	-7.6554	0.065003
0.44	7.917023	-7.755413	0.16161
0.445	8.044539	-7.860398	0.184141
0.45	8.134681	-7.938803	0.195878
0.455	8.082181	-8.037678	0.044503
0.46	8.088937	-8.111099	-0.022162
0.465	8.180392	-8.17265	0.007742
0.47	8.283161	-8.243151	0.04001
0.475	8.266115	-8.29531	-0.029195
0.48	8.144491	-8.308632	-0.164141
0.485	8.226528	-8.331404	-0.104876
0.49	8.297868	-8.362719	-0.064851
0.495	8.279664	-8.357523	-0.077859
0.5	8.354675	-8.350357	0.004318
0.505	8.475332	-8.343895	0.131437
0.51	8.564971	-8.328338	0.236633
0.515	8.558492	-8.319683	0.238809
0.52	8.553883	-8.27945	0.274433
0.525	8.448394	-8.231238	0.217156
0.53	8.337742	-8.189869	0.147873
0.535	8.368462	-8.162041	0.206421
0.54	8.289281	-8.125209	0.164072
0.545	8.245171	-8.07462	0.170551
0.55	8.292031	-8.030126	0.261905
0.555	8.284715	-7.997099	0.287616
0.56	8.293974	-7.943164	0.35081
0.565	8.250117	-7.894831	0.355286
0.57	8.184348	-7.843935	0.340413
0.575	8.145322	-7.783082	0.36224
0.58	8.084656	-7.692096	0.39256
0.585	8.004145	-7.615088	0.389057
0.59	7.916446	-7.563041	0.353405
0.595	7.849541	-7.50667	0.342871
0.6	7.762313	-7.431396	0.330917
0.605	7.691792	-7.362344	0.329448
0.61	7.632625	-7.306849	0.325776
0.615	7.630322	-7.245992	0.38433
0.62	7.598948	-7.165872	0.433076
0.625	7.594673	-7.09547	0.499203
0.63	7.596548	-7.01727	0.579278
0.635	7.564313	-6.964412	0.599901
0.64	7.508153	-6.904565	0.603588
0.645	7.453906	-6.851029	0.602877
0.65	7.398104	-6.799506	0.598598
0.655	7.348855	-6.748795	0.60006
0.66	7.304686	-6.687057	0.617629
0.665	7.271513	-6.639142	0.632371
0.67	7.243898	-6.568794	0.675104
0.675	7.215934	-6.515949	0.699985
0.68	7.194212	-6.445387	0.748825
0.685	7.174717	-6.379126	0.795591
0.69	7.154017	-6.308979	0.845038
0.695	7.132847	-6.245867	0.88698
0.7	7.116095	-6.1663	0.949795
0.705	7.102388	-6.098473	1.003915
0.71	7.086634	-6.024023	1.062611
0.715	7.034135	-5.975633	1.058502
0.72	6.989703	-5.878256	1.111447
0.725	6.94854	-5.796914	1.151626
0.73	6.904748	-5.736716	1.168032
0.735	6.785572	-5.675976	1.109596
0.74	6.742066	-5.596207	1.145859
0.745	6.697918	-5.485001	1.212917
0.75	6.66305	-5.394831	1.268219
0.755	6.547287	-5.325533	1.221754
0.76	6.48908	-5.231637	1.257443
0.765	6.390713	-5.133534	1.257179
0.77	6.267624	-5.046155	1.221469
0.775	6.164046	-4.967335	1.196711
0.78	6.037345	-4.870113	1.167232
0.785	5.898792	-4.788091	1.110701
0.79	5.756933	-4.709595	1.047338
0.795	5.633681	-4.629354	1.004327
0.8	5.545788	-4.52862	1.017168
0.805	5.444296	-4.446863	0.997433
0.81	5.347529	-4.370344	0.977185
0.815	5.207725	-4.30352	0.904205
0.82	5.037228	-4.196464	0.840764
0.825	4.881799	-4.125443	0.756356
0.83	4.728863	-4.071806	0.657057
0.835	4.585598	-4.020673	0.564925
0.84	4.422503	-3.924664	0.497839
0.845	4.24041	-3.837739	0.402671
0.85	4.048723	-3.797943	0.25078
0.855	3.86338	-3.745319	0.118061
0.86	3.794262	-3.676663	0.117599
0.865	3.714345	-3.590564	0.123781
0.87	3.595517	-3.5234	0.072117
0.875	3.426215	-3.448525	-0.02231
0.88	3.278066	-3.378161	-0.100095
0.885	3.179288	-3.310493	-0.131205
0.89	3.086565	-3.228563	-0.141998
0.895	2.957585	-3.166797	-0.209212
0.9	2.866044	-3.072361	-0.206317
0.905	2.71766	-2.939416	-0.221756
0.91	2.558999	-2.822582	-0.263583
0.915	2.337645	-2.719162	-0.381517
0.92	2.170712	-2.560355	-0.389643
0.925	2.265771	-2.403552	-0.137781
0.93	2.56301	-2.247508	0.315502
0.935	2.768054	-2.09625	0.671804
0.94	3.70783	-1.896729	1.811101
0.945	5.719081	-1.67781	4.041271
0.95	7.634124	-1.448961	6.185163
0.955	9.279933	-1.220551	8.059382
0.96	11.93012	-0.936106	10.994014
0.965	13.993086	-0.628202	13.364884
0.97	14.914427	-0.311211	14.603216
0.975	17.696103	0.041371	17.737474
0.98	20.688712	0.459274	21.147986
0.985	22.804953	0.87951	23.684463
0.99	25.217707	1.325172	26.542879
0.995	25.482067	1.80347	27.285537
1	25.628977	2.300589	27.929566
1.005	25.364933	2.822961	28.187894
