Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-1.696091	-0.278192	-1.974283
0.005	-1.876925	-0.108339	-1.985264
0.01	-1.863563	0.098241	-1.765322
0.015	-2.006932	0.249181	-1.757751
0.02	-2.23605	0.401436	-1.834614
0.025	-2.536299	0.573228	-1.963071
0.03	-2.766609	0.7231	-2.043509
0.035	-2.91972	0.857378	-2.062342
0.04	-3.062721	0.985544	-2.077177
0.045	-3.164489	1.101289	-2.0632
0.05	-3.230677	1.217345	-2.013332
0.055	-3.292495	1.32501	-1.967485
0.06	-3.47431	1.417644	-2.056666
0.065	-3.501346	1.505596	-1.99575
0.07	-3.648372	1.588536	-2.059836
0.075	-3.803631	1.663032	-2.140599
0.08	-3.851947	1.733452	-2.118495
0.085	-4.001221	1.77592	-2.225301
0.09	-4.201554	1.800967	-2.400587
0.095	-4.141698	1.817718	-2.32398
0.1	-4.13695	1.867768	-2.269182
0.105	-4.133072	1.872989	-2.260083
0.11	-4.140659	1.85034	-2.290319
0.115	-3.988708	1.840173	-2.148535
0.12	-3.9173	1.811307	-2.105993
0.125	-3.846147	1.777749	-2.068398
0.13	-3.856724	1.725856	-2.130868
0.135	-3.883675	1.654456	-2.229219
0.14	-3.775826	1.57223	-2.203596
0.145	-3.632739	1.473647	-2.159092
0.15	-3.574011	1.380186	-2.193825
0.155	-3.498579	1.271566	-2.227013
0.16	-3.422819	1.137397	-2.285422
0.165	-3.293546	1.017007	-2.276539
0.17	-3.110487	0.884585	-2.225902
0.175	-2.942257	0.741345	-2.200912
0.18	-2.827363	0.567596	-2.259767
0.185	-2.696016	0.389916	-2.3061
0.19	-2.57653	0.219507	-2.357023
0.195	-2.470801	0.049348	-2.421453
0.2	-2.37074	-0.129988	-2.500728
0.205	-2.172253	-0.339669	-2.511922
0.21	-2.027094	-0.551928	-2.579022
0.215	-1.822479	-0.770063	-2.592542
0.22	-1.574108	-0.968406	-2.542514
0.225	-1.257264	-1.189254	-2.446518
0.23	-1.064388	-1.422184	-2.486572
0.235	-0.841727	-1.67152	-2.513247
0.24	-0.562397	-1.919309	-2.481706
0.245	-0.283278	-2.159672	-2.44295
0.25	0.042695	-2.414891	-2.372196
0.255	0.482447	-2.692966	-2.210519
0.26	0.926177	-2.940135	-2.013958
0.265	1.222484	-3.202228	-1.979744
0.27	1.457253	-3.451052	-1.993799
0.275	1.833486	-3.707623	-1.874137
0.28	2.326625	-3.958006	-1.631381
0.285	2.583315	-4.175386	-1.592071
0.29	2.775746	-4.390024	-1.614278
0.295	2.841507	-4.599594	-1.758087
0.3	3.440567	-4.801407	-1.36084
0.305	4.561703	-4.989097	-0.427394
0.31	5.756729	-5.158421	0.598308
0.315	7.588344	-5.328362	2.259982
0.32	9.894141	-5.489903	4.404238
0.325	12.740828	-5.625342	7.115486
0.33	15.647153	-5.752945	9.894208
0.335	17.854947	-5.827566	12.027381
0.34	21.139242	-5.882446	15.256796
0.345	24.670934	-5.95107	18.719864
0.35	25.761282	-6.002674	19.758608
0.355	28.442861	-6.040657	22.402204
0.36	30.829976	-6.052155	24.777821
0.365	33.484156	-6.053997	27.430159
0.37	34.85675	-6.008691	28.848059
0.375	36.093611	-5.938845	30.154766
0.38	38.574724	-5.85084	32.723884
0.385	41.047182	-5.752163	35.295019
0.39	42.100316	-5.613959	36.486357
0.395	42.054075	-5.486794	36.567281
0.4	42.907383	-5.326157	37.581226
0.405	43.263708	-5.163495	38.100213
0.41	42.094763	-4.997302	37.097461
0.415	42.768655	-4.793782	37.974873
0.42	42.906707	-4.57929	38.327417
0.425	43.237693	-4.366951	38.870742
0.43	44.242032	-4.145303	40.096729
0.435	44.803706	-3.888673	40.915033
0.44	43.721805	-3.639874	40.081931
0.445	43.62064	-3.389511	40.231129
0.45	43.052738	-3.099396	39.953342
0.455	43.705802	-2.826531	40.879271
0.46	43.210645	-2.537506	40.673139
0.465	42.986698	-2.248315	40.738383
0.47	42.573545	-1.933593	40.639952
0.475	42.570083	-1.625167	40.944916
0.48	42.378241	-1.326965	41.051276
0.485	41.810758	-1.019147	40.791611
0.49	40.715352	-0.70585	40.009502
0.495	40.593123	-0.39175	40.201373
0.5	39.819168	-0.08233	39.736838
0.505	39.363912	0.240766	39.604678
0.51	38.661196	0.561722	39.222918
0.515	38.662494	0.877197	39.539691
0.52	38.271739	1.192361	39.4641
0.525	37.80378	1.494332	39.298112
0.53	37.912771	1.815671	39.728442
0.535	36.536322	2.125681	38.662003
0.54	36.911083	2.428973	39.340056
0.545	36.97914	2.739331	39.718471
0.55	37.256478	3.05706	40.313538
0.555	36.46566	3.380366	39.846026
0.56	35.898456	3.711043	39.609499
0.565	35.203263	4.020185	39.223448
0.57	34.89751	4.327322	39.224832
0.575	34.48283	4.657508	39.140338
0.58	33.909152	5.000291	38.909443
0.585	33.456967	5.31819	38.775157
0.59	32.920632	5.644196	38.564828
0.595	32.425937	5.989622	38.415559
0.6	32.118322	6.314732	38.433054
0.605	31.833177	6.632596	38.465773
0.61	31.593075	6.959593	38.552668
0.615	31.372016	7.26683	38.638846
0.62	30.855972	7.572253	38.428225
0.625	30.624422	7.907506	38.531928
0.63	30.275647	8.21746	38.493107
0.635	29.820702	8.549743	38.370445
0.64	29.537658	8.8919	38.429558
0.645	28.967076	9.218084	38.18516
0.65	28.19482	9.558221	37.753041
0.655	27.671404	9.896468	37.567872
0.66	27.266003	10.241123	37.507126
0.665	26.975643	10.597052	37.572695
0.67	26.656114	10.930375	37.586489
0.675	26.497028	11.256498	37.753526
0.68	26.271668	11.560971	37.832639
0.685	25.76015	11.904446	37.664596
0.69	25.381509	12.262534	37.644043
0.695	25.021191	12.590824	37.612015
0.7	24.499955	12.956789	37.456744
0.705	24.251921	13.309159	37.56108
0.71	23.848398	13.66907	37.517468
0.715	22.977488	14.013409	36.990897
0.72	22.354862	14.347795	36.702657
0.725	22.041452	14.657242	36.698694
0.73	22.370657	14.990183	37.36084
0.735	22.719674	15.334569	38.054243
0.74	23.406747	15.641627	39.048374
0.745	23.775157	15.976844	39.752001
0.75	24.909589	16.3122	41.221789
0.755	27.415954	16.649288	44.065242
0.76	30.31139	16.97583	47.28722
0.765	32.048508	17.284896	49.333404
0.77	33.916426	17.593905	51.510331
0.775	35.427499	17.900447	53.327946
0.78	34.652614	18.210438	52.863052
0.785	33.805295	18.501277	52.306572
0.79	33.025248	18.811331	51.836579
0.795	32.401282	19.096105	51.497387
0.8	32.055482	19.372457	51.427939
0.805	31.645669	19.638816	51.284485
0.81	31.258824	19.913781	51.172605
0.815	30.969667	20.188967	51.158634
0.82	30.738511	20.405066	51.143577
0.825	30.557571	20.634656	51.192227
0.83	30.393721	20.869259	51.26298
0.835	30.242521	21.046382	51.288903
0.84	29.671148	21.241293	50.912441
0.845	29.255913	21.426958	50.682871
0.85	28.985185	21.601585	50.58677
0.855	28.676341	21.752099	50.42844
0.86	28.413921	21.883008	50.296929
0.865	28.247771	22.004236	50.252007
0.87	28.142412	22.111891	50.254303
0.875	28.140365	22.212671	50.353036
0.88	27.780224	22.33386	50.114084
0.885	26.995859	22.421818	49.417677
0.89	25.922449	22.474245	48.396694
0.895	22.827379	22.540915	45.368294
0.9	19.692587	22.62003	42.312617
0.905	17.596649	22.676557	40.273206
0.91	14.920977	22.724785	37.645762
0.915	12.903494	22.760215	35.663709
0.92	11.752168	22.781084	34.533252
0.925	10.896082	22.801011	33.697093
0.93	10.179051	22.802232	32.981283
0.935	10.126516	22.812151	32.938667
0.94	10.152488	22.822374	32.974862
0.945	10.394744	22.819928	33.214672
0.95	10.385738	22.791609	33.177347
0.955	10.444343	22.766278	33.210621
0.96	10.325314	22.753229	33.078543
