Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-2.818044	1.180014	-1.63803
0.005	-2.878636	1.155601	-1.723035
0.01	-2.931967	1.140497	-1.79147
0.015	-2.974858	1.158963	-1.815895
0.02	-2.983538	1.145321	-1.838217
0.025	-2.976353	1.126881	-1.849472
0.03	-2.977165	1.104097	-1.873068
0.035	-3.001541	1.090805	-1.910736
0.04	-3.031091	1.08047	-1.950621
0.045	-3.045269	1.070299	-1.97497
0.05	-3.051162	1.067628	-1.983534
0.055	-3.0502	1.058521	-1.991679
0.06	-3.055824	1.053727	-2.002097
0.065	-3.066923	1.044104	-2.022819
0.07	-3.08014	1.03458	-2.04556
0.075	-3.088779	1.034723	-2.054056
0.08	-3.095973	1.015418	-2.080555
0.085	-3.10491	1.006874	-2.098036
0.09	-3.085053	1.005828	-2.079225
0.095	-3.067639	0.994573	-2.073066
0.1	-3.062913	0.990668	-2.072245
0.105	-3.053314	0.993337	-2.059977
0.11	-3.041673	0.983335	-2.058338
0.115	-3.017726	0.970375	-2.047351
0.12	-2.952222	0.975577	-1.976645
0.125	-2.877628	0.958843	-1.918785
0.13	-2.793377	0.944782	-1.848595
0.135	-2.75173	0.962188	-1.789542
0.14	-2.686183	0.955629	-1.730554
0.145	-2.618441	0.921765	-1.696676
0.15	-2.593574	0.933678	-1.659896
0.155	-2.548156	0.948195	-1.599961
0.16	-2.560178	0.92984	-1.630338
0.165	-2.570596	0.915918	-1.654678
0.17	-2.598205	0.91818	-1.680025
0.175	-2.670725	0.915576	-1.755149
0.18	-2.727758	0.909568	-1.81819
0.185	-2.800965	0.904126	-1.896839
0.19	-2.848352	0.897833	-1.950519
0.195	-2.95344	0.899032	-2.054408
0.2	-3.010694	0.899484	-2.11121
0.205	-3.068196	0.901084	-2.167112
0.21	-3.099007	0.904594	-2.194413
0.215	-3.130693	0.884858	-2.245835
0.22	-3.163757	0.881504	-2.282253
0.225	-3.207538	0.906435	-2.301103
0.23	-3.233016	0.899089	-2.333927
0.235	-3.250997	0.893476	-2.357521
0.24	-3.251141	0.887524	-2.363617
0.245	-3.249497	0.886847	-2.36265
0.25	-3.242747	0.881266	-2.361481
0.255	-3.227198	0.871406	-2.355792
0.26	-3.214481	0.875168	-2.339313
0.265	-3.206323	0.877098	-2.329225
0.27	-3.150032	0.874092	-2.27594
0.275	-3.117984	0.870226	-2.247758
