Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	10.99247	-10.435163	0.557307
0.005	11.171306	-10.54152	0.629786
0.01	11.625285	-10.6489	0.976385
0.015	11.731009	-10.723867	1.007142
0.02	11.69275	-10.805353	0.887397
0.025	11.77948	-10.872599	0.906881
0.03	11.922546	-10.898086	1.02446
0.035	12.079159	-10.933272	1.145887
0.04	11.926574	-10.962794	0.96378
0.045	11.964084	-10.968736	0.995348
0.05	12.035409	-10.95286	1.082549
0.055	11.940294	-10.933989	1.006305
0.06	11.770041	-10.913936	0.856105
0.065	11.667155	-10.853241	0.813914
0.07	11.66827	-10.780594	0.887676
0.075	11.382218	-10.72825	0.653968
0.08	11.235007	-10.657456	0.577551
0.085	11.133156	-10.560488	0.572668
0.09	11.09181	-10.460779	0.631031
0.095	10.941702	-10.330499	0.611203
0.1	10.757197	-10.223502	0.533695
0.105	10.641292	-10.096534	0.544758
0.11	10.548868	-9.961316	0.587552
0.115	10.325383	-9.854945	0.470438
0.12	10.207043	-9.68879	0.518253
0.125	10.053214	-9.495904	0.55731
0.13	9.907788	-9.340132	0.567656
0.135	9.753887	-9.157787	0.5961
0.14	9.64698	-8.995355	0.651625
0.145	9.544328	-8.800639	0.743689
0.15	9.453704	-8.634508	0.819196
0.155	9.373132	-8.468688	0.904444
0.16	9.326328	-8.263381	1.062947
0.165	9.190135	-8.057015	1.13312
0.17	8.992059	-7.866033	1.126026
0.175	8.726159	-7.66989	1.056269
0.18	8.473624	-7.46365	1.009974
0.185	8.257543	-7.2561	1.001443
0.19	7.996044	-7.013302	0.982742
0.195	7.473593	-6.798213	0.67538
0.2	7.073419	-6.589378	0.484041
0.205	6.736393	-6.352618	0.383775
0.21	6.41244	-6.149606	0.262834
0.215	6.110783	-5.937188	0.173595
0.22	5.635209	-5.728374	-0.093165
0.225	5.116227	-5.5203	-0.404073
0.23	4.706799	-5.324218	-0.617419
0.235	4.050492	-5.116711	-1.066219
0.24	3.540968	-4.935522	-1.394554
0.245	3.088526	-4.761527	-1.673001
0.25	2.701877	-4.584592	-1.882715
0.255	2.422165	-4.436961	-2.014796
0.26	2.087388	-4.266641	-2.179253
0.265	1.842754	-4.111206	-2.268452
0.27	1.615826	-3.992521	-2.376695
0.275	1.403207	-3.817264	-2.414057
0.28	1.319757	-3.681245	-2.361488
0.285	1.231848	-3.596951	-2.365103
0.29	1.111833	-3.50557	-2.393737
0.295	1.218305	-3.406176	-2.187871
0.3	1.082341	-3.303041	-2.2207
0.305	0.94433	-3.242389	-2.298059
0.31	0.894469	-3.188948	-2.294479
0.315	0.803081	-3.158813	-2.355732
0.32	0.792412	-3.117001	-2.324589
0.325	0.887962	-3.102406	-2.214444
0.33	0.985385	-3.116077	-2.130692
0.335	1.026915	-3.148908	-2.121993
0.34	1.060478	-3.182111	-2.121633
0.345	1.089911	-3.22801	-2.138099
0.35	1.114281	-3.280601	-2.16632
0.355	1.273439	-3.323026	-2.049587
0.36	1.514028	-3.409367	-1.895339
0.365	1.613568	-3.509122	-1.895554
0.37	1.685052	-3.586425	-1.901373
0.375	1.81775	-3.675032	-1.857282
0.38	1.9854	-3.77717	-1.79177
0.385	2.171064	-3.872692	-1.701628
0.39	2.3381	-3.990328	-1.652228
0.395	2.430807	-4.101275	-1.670468
0.4	2.503203	-4.220433	-1.71723
0.405	2.559841	-4.329818	-1.769977
0.41	2.665251	-4.437478	-1.772227
0.415	2.820265	-4.552027	-1.731762
0.42	3.1385	-4.62197	-1.48347
0.425	3.36209	-4.722724	-1.360634
0.43	3.708096	-4.833745	-1.125649
0.435	3.932695	-4.930276	-0.997581
0.44	4.079951	-5.008609	-0.928658
0.445	4.204348	-5.074966	-0.870618
0.45	4.349746	-5.164118	-0.814372
0.455	4.519106	-5.222635	-0.703529
0.46	4.684351	-5.286564	-0.602213
0.465	4.853755	-5.36467	-0.510915
0.47	5.013743	-5.421592	-0.407849
0.475	5.198629	-5.46836	-0.269731
0.48	5.331467	-5.508626	-0.177159
0.485	5.470714	-5.529945	-0.059231
0.49	5.636676	-5.568286	0.06839
0.495	5.711509	-5.619534	0.091975
0.5	5.705782	-5.635755	0.070027
0.505	5.674753	-5.634672	0.040081
0.51	5.665495	-5.645043	0.020452
0.515	5.612093	-5.657532	-0.045439
0.52	5.593152	-5.6531	-0.059948
0.525	5.621908	-5.642064	-0.020156
0.53	5.650918	-5.660645	-0.009727
0.535	5.644112	-5.657942	-0.01383
0.54	5.645898	-5.650831	-0.004933
0.545	5.678225	-5.6181	0.060125
0.55	5.677085	-5.575235	0.10185
0.555	5.719313	-5.548075	0.171238
0.56	5.720156	-5.512322	0.207834
0.565	5.739884	-5.454155	0.285729
0.57	5.713554	-5.404588	0.308966
0.575	5.710125	-5.344178	0.365947
0.58	5.694131	-5.257714	0.436417
0.585	5.667303	-5.168167	0.499136
0.59	5.667469	-5.082027	0.585442
0.595	5.712338	-4.971499	0.740839
0.6	6.108331	-4.829593	1.278738
0.605	6.690254	-4.674693	2.015561
0.61	7.669365	-4.500181	3.169184
0.615	9.241587	-4.307579	4.934008
0.62	10.895508	-4.10234	6.793168
0.625	13.100121	-3.852836	9.247285
0.63	15.067534	-3.579654	11.48788
0.635	17.432131	-3.270689	14.161442
0.64	18.579913	-2.920313	15.6596
0.645	19.220944	-2.560437	16.660507
0.65	21.773477	-2.155237	19.61824
0.655	23.879053	-1.733315	22.145738
0.66	25.767843	-1.284682	24.483161
0.665	27.18334	-0.824202	26.359138
0.67	29.349528	-0.326545	29.022983
0.675	31.564399	0.195009	31.759408
0.68	33.534941	0.75345	34.288391
0.685	34.044909	1.361485	35.406394
0.69	34.543847	1.965769	36.509616
0.695	36.543105	2.644971	39.188076
0.7	38.411384	3.305011	41.716395
0.705	39.742357	4.030261	43.772618
0.71	40.470879	4.767179	45.238058
0.715	41.097035	5.500717	46.597752
0.72	41.388342	6.272323	47.660665
0.725	41.6111	7.079837	48.690937
0.73	42.207686	7.854269	50.061955
0.735	43.206335	8.68183	51.888165
0.74	44.183531	9.50047	53.684001
0.745	44.988969	10.348006	55.336975
0.75	44.059405	11.199862	55.259267
0.755	44.708618	12.073046	56.781664
0.76	44.65042	12.957871	57.608291
0.765	44.621652	13.841366	58.463018
0.77	44.12682	14.722888	58.849708
0.775	43.695861	15.638356	59.334217
0.78	43.809071	16.519275	60.328346
0.785	43.722336	17.394129	61.116465
0.79	42.875038	18.290426	61.165464
0.795	44.023214	19.181414	63.204628
0.8	44.853427	20.087337	64.940764
0.805	44.892449	21.016198	65.908647
0.81	44.577722	21.914488	66.49221
0.815	45.104775	22.802147	67.906922
0.82	46.168191	23.684113	69.852304
0.825	45.002666	24.574916	69.577582
0.83	43.281571	25.398836	68.680407
0.835	43.152229	26.221283	69.373512
0.84	42.115749	27.075599	69.191348
0.845	41.563958	27.898742	69.4627
0.85	40.310454	28.709895	69.020349
0.855	40.108785	29.508488	69.617273
0.86	39.130541	30.246859	69.3774
0.865	38.591312	30.988857	69.580169
0.87	37.891883	31.714709	69.606592
0.875	36.90101	32.417623	69.318633
0.88	36.073462	33.134762	69.208224
0.885	35.555345	33.827826	69.383171
0.89	34.967964	34.485593	69.453557
0.895	34.013968	35.111246	69.125214
0.9	32.727856	35.732397	68.460253
0.905	31.07246	36.369444	67.441904
0.91	28.933251	36.962099	65.89535
0.915	27.545111	37.54741	65.092521
0.92	26.683619	38.118641	64.80226
0.925	25.913359	38.677679	64.591038
0.93	24.842879	39.240028	64.082907
0.935	23.819804	39.779902	63.599706
0.94	22.891751	40.280918	63.172669
0.945	22.003753	40.789338	62.793091
0.95	20.998541	41.257011	62.255552
0.955	20.634512	41.736929	62.371441
0.96	20.147708	42.169643	62.317351
0.965	19.793781	42.621475	62.415256
0.97	19.650669	43.072784	62.723453
0.975	19.248603	43.48853	62.737133
