Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	10.199152	-8.626887	1.572265
0.005	10.083363	-8.610638	1.472725
0.01	10.089772	-8.617037	1.472735
0.015	10.02454	-8.621679	1.402861
0.02	9.988101	-8.563588	1.424513
0.025	10.050807	-8.508268	1.542539
0.03	10.119894	-8.427834	1.69206
0.035	10.368607	-8.389996	1.978611
0.04	10.166427	-8.327477	1.83895
0.045	9.963393	-8.262964	1.700429
0.05	9.744973	-8.202515	1.542458
0.055	9.465665	-8.139658	1.326007
0.06	9.388493	-8.041205	1.347288
0.065	9.319649	-7.950935	1.368714
0.07	9.19033	-7.848135	1.342195
0.075	9.044514	-7.764376	1.280138
0.08	8.930205	-7.716125	1.21408
0.085	8.834602	-7.631856	1.202746
0.09	8.747108	-7.561763	1.185345
0.095	8.671375	-7.503309	1.168066
0.1	8.604401	-7.429186	1.175215
0.105	8.539969	-7.374286	1.165683
0.11	8.479809	-7.296938	1.182871
0.115	8.425382	-7.257337	1.168045
0.12	8.383318	-7.215218	1.1681
0.125	8.36792	-7.166355	1.201565
0.13	8.334416	-7.12703	1.207386
0.135	8.304446	-7.078454	1.225992
0.14	8.27441	-7.040962	1.233448
0.145	8.245816	-7.008259	1.237557
0.15	8.221195	-6.965304	1.255891
0.155	8.198706	-6.949447	1.249259
0.16	8.178293	-6.910581	1.267712
0.165	8.189409	-6.871518	1.317891
0.17	8.191123	-6.863698	1.327425
0.175	8.170847	-6.852068	1.318779
0.18	8.151371	-6.817659	1.333712
0.185	8.116748	-6.785301	1.331447
0.19	8.093968	-6.75096	1.343008
0.195	8.084561	-6.713742	1.370819
0.2	8.072188	-6.689062	1.383126
0.205	8.060619	-6.662855	1.397764
0.21	8.009448	-6.637793	1.371655
0.215	7.981285	-6.61396	1.367325
0.22	7.96545	-6.590236	1.375214
0.225	7.941009	-6.568387	1.372622
0.23	7.78927	-6.519613	1.269657
0.235	7.708936	-6.485943	1.222993
0.24	7.667717	-6.469771	1.197946
0.245	7.611098	-6.426426	1.184672
0.25	7.498443	-6.369157	1.129286
0.255	7.343436	-6.319989	1.023447
0.26	7.165211	-6.263136	0.902075
0.265	6.967703	-6.205102	0.762601
0.27	6.823817	-6.140136	0.683681
0.275	6.72673	-6.090161	0.636569
0.28	6.649884	-6.037357	0.612527
0.285	6.644772	-5.982757	0.662015
0.29	6.57791	-5.95645	0.62146
0.295	6.511783	-5.909126	0.602657
0.3	6.467821	-5.860816	0.607005
0.305	6.433965	-5.807139	0.626826
0.31	6.403887	-5.767032	0.636855
0.315	6.382891	-5.730213	0.652678
0.32	6.348631	-5.70894	0.639691
0.325	6.300749	-5.659126	0.641623
0.33	6.245346	-5.623606	0.62174
0.335	6.2287	-5.591056	0.637644
0.34	6.227693	-5.556347	0.671346
0.345	6.244682	-5.549288	0.695394
0.35	6.222858	-5.529642	0.693216
0.355	6.12932	-5.509676	0.619644
0.36	6.064256	-5.487034	0.577222
0.365	6.107315	-5.465124	0.642191
0.37	6.040845	-5.459266	0.581579
0.375	6.007269	-5.455618	0.551651
0.38	6.006386	-5.464245	0.542141
0.385	6.019115	-5.457646	0.561469
0.39	6.035631	-5.442476	0.593155
0.395	5.910637	-5.452735	0.457902
0.4	5.736938	-5.459501	0.277437
0.405	5.638644	-5.461142	0.177502
0.41	5.681957	-5.461396	0.220561
0.415	5.731079	-5.473018	0.258061
0.42	5.774301	-5.490119	0.284182
0.425	5.82379	-5.485405	0.338385
0.43	5.875228	-5.461245	0.413983
0.435	5.913307	-5.469988	0.443319
0.44	5.945931	-5.474182	0.471749
0.445	5.972957	-5.484788	0.488169
0.45	6.001542	-5.499962	0.50158
0.455	6.028522	-5.514465	0.514057
0.46	6.058236	-5.523781	0.534455
0.465	6.088105	-5.518707	0.569398
0.47	6.109752	-5.524439	0.585313
0.475	6.145902	-5.536525	0.609377
0.48	6.193735	-5.564846	0.628889
0.485	6.248242	-5.557427	0.690815
0.49	6.271024	-5.539825	0.731199
0.495	6.422419	-5.518961	0.903458
0.5	6.584775	-5.496063	1.088712
0.505	6.663691	-5.491139	1.172552
0.51	6.730948	-5.481212	1.249736
0.515	6.74685	-5.49782	1.24903
0.52	6.755428	-5.467284	1.288144
0.525	6.778773	-5.458412	1.320361
0.53	6.685142	-5.46208	1.223062
0.535	6.590343	-5.480025	1.110318
0.54	6.521817	-5.477973	1.043844
0.545	6.474337	-5.490083	0.984254
0.55	6.3269	-5.487656	0.839244
0.555	6.26615	-5.471397	0.794753
0.56	6.24061	-5.475325	0.765285
0.565	6.216487	-5.497326	0.719161
0.57	6.203536	-5.485811	0.717725
0.575	6.215843	-5.482106	0.733737
0.58	6.22126	-5.500961	0.720299
0.585	6.194611	-5.49122	0.703391
0.59	6.186399	-5.497476	0.688923
0.595	6.193401	-5.502168	0.691233
0.6	6.200358	-5.480915	0.719443
0.605	6.205256	-5.460953	0.744303
0.61	6.130776	-5.458203	0.672573
0.615	6.056847	-5.451768	0.605079
0.62	6.001724	-5.445975	0.555749
0.625	5.909934	-5.440348	0.469586
0.63	5.703145	-5.422354	0.280791
0.635	5.422964	-5.405387	0.017577
0.64	5.171188	-5.383971	-0.212783
0.645	5.14739	-5.337925	-0.190535
0.65	5.184788	-5.300537	-0.115749
0.655	5.148527	-5.268028	-0.119501
0.66	5.038502	-5.195754	-0.157252
0.665	4.78581	-5.131226	-0.345416
0.67	4.699302	-5.067187	-0.367885
0.675	4.589646	-5.009477	-0.419831
0.68	4.487162	-4.918509	-0.431347
0.685	4.386229	-4.807015	-0.420786
0.69	4.212855	-4.706152	-0.493297
0.695	4.017493	-4.590319	-0.572826
0.7	3.768015	-4.437937	-0.669922
0.705	3.504436	-4.257786	-0.75335
0.71	3.559599	-4.087515	-0.527916
0.715	4.027183	-3.910776	0.116407
0.72	4.788199	-3.713217	1.074982
0.725	6.380995	-3.467424	2.913571
0.73	8.660761	-3.215639	5.445122
0.735	11.003878	-2.934711	8.069167
0.74	13.171623	-2.600259	10.571364
0.745	14.903825	-2.256534	12.647291
0.75	17.128517	-1.893808	15.234709
0.755	19.018606	-1.506079	17.512527
0.76	20.863143	-1.085104	19.778039
0.765	22.390016	-0.591815	21.798201
0.77	23.503907	-0.133993	23.369914
0.775	24.170083	0.379449	24.549532
0.78	24.554878	0.898649	25.453527
0.785	25.239831	1.442929	26.68276
0.79	26.960245	2.038854	28.999099
0.795	27.76227	2.603083	30.365353
0.8	28.434177	3.20736	31.641537
0.805	29.397064	3.864226	33.26129
0.81	30.462043	4.518567	34.98061
0.815	31.4193	5.174885	36.594185
0.82	32.334509	5.874558	38.209067
0.825	33.64476	6.607514	40.252274
0.83	33.95587	7.364351	41.320221
0.835	34.709809	8.085472	42.795281
0.84	35.499921	8.835805	44.335726
0.845	36.576338	9.624336	46.200674
0.85	38.329025	10.409574	48.738599
0.855	39.531662	11.172604	50.704266
0.86	40.004153	11.974435	51.978588
0.865	39.93759	12.790277	52.727867
0.87	40.776668	13.605992	54.38266
0.875	41.28092	14.442456	55.723376
0.88	41.187436	15.279006	56.466442
0.885	41.125561	16.100261	57.225822
0.89	41.215676	16.949535	58.165211
0.895	41.309603	17.814991	59.124594
0.9	40.640916	18.712373	59.353289
0.905	40.863383	19.546813	60.410196
0.91	41.091065	20.35976	61.450825
0.915	40.918519	21.192746	62.111265
0.92	40.488003	22.028267	62.51627
0.925	40.523576	22.907247	63.430823
0.93	40.513683	23.763891	64.277574
0.935	40.624718	24.573938	65.198656
0.94	40.937572	25.392171	66.329743
0.945	41.970365	26.253111	68.223476
0.95	42.588623	27.041552	69.630175
0.955	42.957974	27.811981	70.769955
0.96	43.330355	28.671161	72.001516
0.965	44.532414	29.466147	73.998561
0.97	44.495628	30.262165	74.757793
0.975	44.006376	31.075152	75.081528
0.98	43.735311	31.860631	75.595942
0.985	43.624732	32.652863	76.277595
0.99	42.427188	33.459757	75.886945
0.995	41.499296	34.261253	75.760549
1	41.217295	34.993959	76.211254
1.005	40.552533	35.764015	76.316548
1.01	39.726103	36.529153	76.255256
1.015	39.064079	37.245474	76.309553
1.02	38.017844	37.990243	76.008087
1.025	37.322081	38.772336	76.094417
1.03	36.634127	39.468067	76.102194
1.035	35.871278	40.183423	76.054701
1.04	35.54474	40.859229	76.403969
1.045	34.558537	41.546884	76.105421
1.05	33.021726	42.267062	75.288788
1.055	31.450538	42.951949	74.402487
1.06	29.743241	43.642505	73.385746
1.065	28.607072	44.28713	72.894202
1.07	27.584053	44.980572	72.564625
1.075	26.45647	45.606705	72.063175
1.08	25.421873	46.234527	71.6564
