Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	7.125961	2.465158	9.591119
0.005	7.074808	2.533066	9.607874
0.01	7.037492	2.528726	9.566218
0.015	6.994141	2.541079	9.53522
0.02	6.986429	2.536271	9.5227
0.025	7.02266	2.541747	9.564407
0.03	7.00095	2.546348	9.547298
0.035	6.979563	2.546343	9.525906
0.04	6.952714	2.555113	9.507827
0.045	6.916182	2.555944	9.472126
0.05	6.887795	2.557439	9.445234
0.055	6.866012	2.588677	9.454689
0.06	6.847949	2.600772	9.448721
0.065	6.828362	2.600473	9.428835
0.07	6.808496	2.623335	9.431831
0.075	6.783724	2.625445	9.409169
0.08	6.749173	2.648039	9.397212
0.085	6.728125	2.604595	9.33272
0.09	6.665901	2.567995	9.233896
0.095	6.565588	2.684271	9.249859
0.1	6.539586	2.718261	9.257847
0.105	6.511743	2.725217	9.23696
0.11	6.479078	2.742523	9.221601
0.115	6.419932	2.762894	9.182826
0.12	6.383815	2.714115	9.09793
0.125	6.319573	2.698095	9.017668
0.13	6.271147	2.73583	9.006977
0.135	6.263307	2.767104	9.030411
0.14	6.241961	2.862688	9.104649
0.145	6.211548	2.902447	9.113995
0.15	6.073594	2.854921	8.928515
0.155	6.026004	2.860476	8.88648
0.16	5.977857	2.89413	8.871987
0.165	5.88379	2.939693	8.823483
0.17	5.856139	2.996555	8.852694
0.175	5.805743	3.014347	8.82009
0.18	5.775611	3.046984	8.822595
0.185	5.74004	3.093418	8.833458
0.19	5.744073	3.125603	8.869676
0.195	5.726269	3.14181	8.868079
0.2	5.739018	3.184038	8.923056
0.205	5.749239	3.216763	8.966002
0.21	5.756983	3.260603	9.017586
0.215	5.781257	3.281889	9.063146
0.22	5.765647	3.296101	9.061748
0.225	5.765996	3.377339	9.143335
0.23	5.743826	3.392927	9.136753
0.235	5.711148	3.398281	9.109429
0.24	5.547114	3.415153	8.962267
0.245	5.383831	3.445925	8.829756
0.25	5.315057	3.541075	8.856132
0.255	5.152532	3.53541	8.687942
0.26	5.05712	3.51702	8.57414
0.265	4.982717	3.590866	8.573583
0.27	4.893193	3.675168	8.568361
0.275	4.698787	3.66516	8.363947
0.28	4.62691	3.688439	8.315349
0.285	4.586132	3.708729	8.294861
0.29	4.42893	3.720101	8.149031
0.295	4.404773	3.750879	8.155652
0.3	4.267753	3.780488	8.048241
0.305	4.190577	3.807152	7.997729
0.31	4.127694	3.833006	7.9607
0.315	4.052595	3.865135	7.91773
0.32	4.107828	3.912407	8.020235
0.325	4.187397	3.934123	8.12152
0.33	4.273698	3.963071	8.236769
0.335	4.326609	3.986578	8.313187
0.34	4.333161	4.024964	8.358125
0.345	4.311565	4.07905	8.390615
0.35	4.322061	4.068862	8.390923
0.355	4.282527	4.054779	8.337306
0.36	4.262828	4.073815	8.336643
0.365	4.247913	4.09505	8.342963
0.37	4.277898	4.124165	8.402063
0.375	4.300363	4.135833	8.436196
0.38	4.264106	4.169928	8.434034
0.385	4.17381	4.188524	8.362334
0.39	4.178709	4.187915	8.366624
0.395	4.059983	4.201824	8.261807
0.4	4.021151	4.231149	8.2523
0.405	4.017903	4.229559	8.247462
0.41	4.001983	4.24153	8.243513
0.415	4.013138	4.266678	8.279816
0.42	4.058893	4.27872	8.337613
0.425	4.100384	4.307074	8.407458
