Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-6.147039	3.122995	-3.024044
0.005	-6.089925	3.125443	-2.964482
0.01	-6.470364	3.1105	-3.359864
0.015	-6.918454	3.098489	-3.819965
0.02	-6.8424	3.067921	-3.774479
0.025	-6.498935	3.05567	-3.443265
0.03	-5.77204	3.044477	-2.727563
0.035	-3.199681	3.028289	-0.171392
0.04	3.631867	2.995702	6.627569
0.045	8.143446	2.975876	11.119322
0.05	8.318735	2.96396	11.282695
0.055	14.146446	2.932027	17.078473
0.06	18.884918	2.90889	21.793808
0.065	23.579782	2.872337	26.452119
0.07	22.800024	2.841225	25.641249
0.075	22.438024	2.826056	25.26408
0.08	22.561522	2.784921	25.346443
0.085	22.420811	2.773396	25.194207
0.09	21.747006	2.749666	24.496672
0.095	21.524989	2.712601	24.23759
0.1	20.571329	2.661847	23.233176
0.105	19.757418	2.628163	22.385581
0.11	20.036183	2.609173	22.645356
0.115	19.435088	2.57315	22.008238
0.12	18.84518	2.534787	21.379967
0.125	18.98571	2.512141	21.497851
0.13	18.909044	2.494568	21.403612
0.135	18.767428	2.476837	21.244265
0.14	18.369309	2.445518	20.814827
0.145	19.40227	2.444285	21.846555
0.15	19.813357	2.42078	22.234137
0.155	18.753704	2.394037	21.147741
0.16	18.53496	2.368826	20.903786
0.165	18.994489	2.364726	21.359215
0.17	18.440916	2.352002	20.792918
0.175	17.876112	2.340216	20.216328
0.18	18.371786	2.322124	20.69391
0.185	19.101169	2.314179	21.415348
0.19	19.688086	2.319731	22.007817
0.195	19.937965	2.314896	22.252861
0.2	20.421535	2.276553	22.698088
0.205	22.023071	2.287161	24.310232
0.21	24.042073	2.290005	26.332078
0.215	25.200845	2.2522	27.453045
0.22	27.495043	2.238044	29.733087
0.225	29.223833	2.238754	31.462587
0.23	31.510316	2.233826	33.744142
0.235	33.107444	2.235303	35.342747
0.24	32.740043	2.212441	34.952484
0.245	31.507606	2.2072	33.714806
0.25	29.747754	2.213857	31.961611
0.255	29.54448	2.200213	31.744693
0.26	30.672706	2.161623	32.834329
0.265	31.602968	2.140825	33.743793
0.27	34.046009	2.119749	36.165758
0.275	35.741356	2.100563	37.841919
0.28	36.088056	2.071544	38.1596
0.285	34.939585	2.0638	37.003385
0.29	35.443879	2.046793	37.490672
0.295	35.625389	2.023593	37.648982
0.3	33.332461	1.975445	35.307906
0.305	30.336165	1.960642	32.296807
0.31	27.799842	1.920346	29.720188
0.315	26.126037	1.893892	28.019929
0.32	25.146656	1.848812	26.995468
0.325	24.679635	1.810131	26.489766
0.33	18.793055	1.797307	20.590362
0.335	15.426794	1.745633	17.172427
0.34	12.35391	1.699308	14.053218
0.345	9.646162	1.684305	11.330467
0.35	9.047737	1.651158	10.698895
0.355	9.775053	1.601436	11.376489
0.36	10.557013	1.557866	12.114879
0.365	12.158976	1.536893	13.695869
0.37	15.018851	1.479966	16.498817
0.375	16.781813	1.434171	18.215984
0.38	19.483198	1.399171	20.882369
0.385	20.234496	1.376096	21.610592
0.39	18.375783	1.361215	19.736998
0.395	16.234334	1.32209	17.556424
0.4	15.544298	1.259927	16.804225
0.405	14.38003	1.253693	15.633723
0.41	11.929518	1.255661	13.185179
0.415	8.225194	1.2242	9.449394
0.42	5.739723	1.175809	6.915532
0.425	3.532642	1.211721	4.744363
0.43	3.479043	1.2212	4.700243
0.435	3.722555	1.208825	4.93138
0.44	3.846443	1.231479	5.077922
0.445	3.957225	1.278153	5.235378
0.45	3.527737	1.283932	4.811669
0.455	3.960583	1.285212	5.245795
0.46	5.265093	1.311411	6.576504
0.465	6.86587	1.348333	8.214203
0.47	7.371743	1.387688	8.759431
0.475	7.744929	1.409306	9.154235
0.48	7.518868	1.391098	8.909966
0.485	8.266524	1.42309	9.689614
0.49	8.334247	1.472802	9.807049
0.495	8.496559	1.491532	9.988091
0.5	8.57786	1.478353	10.056213
0.505	9.180637	1.498915	10.679552
0.51	9.572731	1.509923	11.082654
0.515	9.962966	1.514307	11.477273
0.52	9.786972	1.493866	11.280838
0.525	9.11226	1.529617	10.641877
0.53	8.528564	1.535602	10.064166
0.535	8.121941	1.533837	9.655778
0.54	7.919214	1.527065	9.446279
0.545	7.471348	1.536884	9.008232
0.55	7.465	1.549866	9.014866
0.555	7.608825	1.555607	9.164432
0.56	7.91205	1.564426	9.476476
0.565	7.736017	1.573217	9.309234
0.57	7.302311	1.585562	8.887873
0.575	6.837801	1.573218	8.411019
0.58	6.639131	1.562591	8.201722
0.585	6.360358	1.572348	7.932706
0.59	6.258891	1.569664	7.828555
0.595	6.185447	1.562646	7.748093
0.6	6.177847	1.543504	7.721351
0.605	5.753163	1.544226	7.297389
0.61	6.311682	1.536432	7.848114
0.615	6.87191	1.529367	8.401277
0.62	6.819351	1.511784	8.331135
0.625	6.951495	1.532339	8.483834
0.63	5.857093	1.528768	7.385861
0.635	5.424983	1.479509	6.904492
0.64	5.758839	1.458781	7.21762
0.645	6.292457	1.4433	7.735757
0.65	6.401874	1.435181	7.837055
0.655	6.457314	1.434885	7.892199
0.66	6.684159	1.413437	8.097596
0.665	6.85444	1.430769	8.285209
0.67	6.961447	1.415555	8.377002
0.675	7.200017	1.402606	8.602623
0.68	9.191679	1.376709	10.568388
0.685	9.726777	1.36533	11.092107
0.69	9.660006	1.338817	10.998823
0.695	8.970468	1.348708	10.319176
0.7	6.095572	1.331063	7.426635
0.705	3.642791	1.305997	4.948788
0.71	2.861488	1.298819	4.160307
0.715	2.125597	1.280511	3.406108
0.72	1.102275	1.231518	2.333793
0.725	0.363875	1.204441	1.568316
0.73	0.818912	1.19989	2.018802
0.735	0.856819	1.171776	2.028595
0.74	-0.144246	1.145561	1.001315
0.745	-1.328423	1.126475	-0.201948
