Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-10.357186	-50.444246	-60.801432
0.005	-10.360971	-50.416491	-60.777462
0.01	-10.349821	-50.393373	-60.743194
0.015	-10.333184	-50.386571	-60.719755
0.02	-10.320203	-50.381091	-60.701294
0.025	-10.328665	-50.373301	-60.701966
0.03	-10.366111	-50.35276	-60.718871
0.035	-10.402395	-50.363368	-60.765763
0.04	-10.427422	-50.383605	-60.811027
0.045	-10.545805	-50.349151	-60.894956
0.05	-10.615366	-50.324908	-60.940274
0.055	-10.66395	-50.339499	-61.003449
0.06	-10.707308	-50.338267	-61.045575
0.065	-10.800791	-50.317533	-61.118324
0.07	-10.91941	-50.285141	-61.204551
0.075	-11.015145	-50.299593	-61.314738
0.08	-11.143714	-50.293064	-61.436778
0.085	-11.236184	-50.267937	-61.504121
0.09	-11.237849	-50.243986	-61.481835
0.095	-11.214623	-50.239133	-61.453756
0.1	-11.203702	-50.221153	-61.424855
0.105	-11.182444	-50.212923	-61.395367
0.11	-11.164598	-50.178132	-61.34273
0.115	-11.159184	-50.17213	-61.331314
0.12	-11.129716	-50.152931	-61.282647
0.125	-11.104087	-50.145243	-61.24933
0.13	-11.109616	-50.122366	-61.231982
0.135	-11.128038	-50.108991	-61.237029
0.14	-11.188854	-50.086277	-61.275131
0.145	-11.227581	-50.056556	-61.284137
0.15	-11.252895	-50.058051	-61.310946
0.155	-11.277789	-50.057257	-61.335046
0.16	-11.283126	-50.033834	-61.31696
0.165	-11.348903	-50.014091	-61.362994
0.17	-11.373856	-49.993954	-61.36781
0.175	-11.356816	-49.985669	-61.342485
0.18	-11.375153	-49.982654	-61.357807
0.185	-11.434772	-49.970001	-61.404773
0.19	-11.512639	-49.945248	-61.457887
0.195	-11.560651	-49.957131	-61.517782
0.2	-11.565464	-49.963286	-61.52875
0.205	-11.568216	-49.964688	-61.532904
0.21	-11.548773	-49.948509	-61.497282
0.215	-11.545192	-49.931204	-61.476396
0.22	-11.614776	-49.936706	-61.551482
0.225	-11.701628	-49.923449	-61.625077
0.23	-11.741035	-49.93874	-61.679775
0.235	-11.746566	-49.946202	-61.692768
0.24	-11.780909	-49.956594	-61.737503
0.245	-11.812928	-49.935683	-61.748611
0.25	-11.830195	-49.910975	-61.74117
0.255	-11.847464	-49.923677	-61.771141
0.26	-11.873515	-49.912781	-61.786296
0.265	-11.876177	-49.909675	-61.785852
0.27	-11.885264	-49.871204	-61.756468
0.275	-11.902792	-49.878373	-61.781165
0.28	-11.895586	-49.901808	-61.797394
0.285	-11.934382	-49.873004	-61.807386
0.29	-11.967614	-49.853295	-61.820909
0.295	-11.974332	-49.833328	-61.80766
0.3	-11.962503	-49.810829	-61.773332
0.305	-11.96193	-49.799341	-61.761271
0.31	-11.977069	-49.775824	-61.752893
