Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	2.764594	41.42492	44.189514
0.005	2.786082	41.340489	44.126571
0.01	2.944682	41.049704	43.994386
0.015	3.210891	40.852713	44.063604
0.02	3.410362	40.708995	44.119357
0.025	3.591688	40.590242	44.18193
0.03	3.739879	40.402212	44.142091
0.035	3.862699	40.243121	44.10582
0.04	3.924964	40.074544	43.999508
0.045	3.980937	40.005548	43.986485
0.05	4.060368	39.91513	43.975498
0.055	4.191027	39.834595	44.025622
0.06	4.391808	39.767316	44.159124
0.065	4.568916	39.604113	44.173029
0.07	4.684134	39.502004	44.186138
0.075	4.900688	39.391017	44.291705
0.08	5.057895	39.249746	44.307641
0.085	5.216405	39.207284	44.423689
0.09	5.41711	39.156802	44.573912
0.095	5.585099	39.083995	44.669094
0.1	5.893098	39.015897	44.908995
0.105	6.255007	38.968388	45.223395
0.11	6.67083	38.853662	45.524492
0.115	6.854949	38.748147	45.603096
0.12	6.93436	38.6615	45.59586
0.125	7.029243	38.543311	45.572554
0.13	7.20652	38.504804	45.711324
0.135	7.40348	38.423366	45.826846
0.14	7.527403	38.350573	45.877976
0.145	7.657227	38.294654	45.951881
0.15	7.770582	38.207994	45.978576
0.155	7.806058	38.125665	45.931723
0.16	7.939972	38.066731	46.006703
0.165	8.083325	38.052405	46.13573
0.17	8.205435	38.020096	46.225531
0.175	8.326392	37.973115	46.299507
0.18	8.485	37.941691	46.426691
0.185	8.603219	37.883514	46.486733
0.19	8.631017	37.833066	46.464083
0.195	8.789235	37.827045	46.61628
0.2	8.907877	37.768069	46.675946
0.205	8.980661	37.725952	46.706613
0.21	8.963536	37.710064	46.6736
0.215	8.983526	37.719606	46.703132
0.22	8.974372	37.638943	46.613315
0.225	8.960872	37.569486	46.530358
0.23	8.964951	37.549846	46.514797
0.235	8.938723	37.537951	46.476674
0.24	8.919131	37.494642	46.413773
0.245	8.914208	37.451413	46.365621
0.25	8.903165	37.45488	46.358045
0.255	8.834816	37.412489	46.247305
0.26	8.796866	37.387355	46.184221
0.265	8.751119	37.360583	46.111702
0.27	8.663073	37.334625	45.997698
0.275	8.628986	37.352058	45.981044
0.28	8.670292	37.359119	46.029411
0.285	8.706621	37.376402	46.083023
0.29	8.697532	37.408243	46.105775
0.295	8.749835	37.425115	46.17495
0.3	8.771161	37.418234	46.189395
0.305	8.768311	37.393824	46.162135
0.31	8.708821	37.386998	46.095819
0.315	8.652758	37.412098	46.064856
0.32	8.623656	37.422118	46.045774
0.325	8.602232	37.440924	46.043156
0.33	8.578417	37.413611	45.992028
0.335	8.579533	37.414843	45.994376
0.34	8.651818	37.451241	46.103059
0.345	8.738667	37.464049	46.202716
0.35	8.823837	37.458613	46.28245
0.355	8.943769	37.516803	46.460572
0.36	9.060762	37.556739	46.617501
0.365	9.151113	37.55672	46.707833
0.37	9.199133	37.544169	46.743302
0.375	9.212464	37.537005	46.749469
0.38	9.16069	37.555871	46.716561
0.385	9.111822	37.581984	46.693806
0.39	9.105604	37.568218	46.673822
0.395	9.181187	37.563708	46.744895
0.4	9.223087	37.549705	46.772792
0.405	9.234664	37.530081	46.764745
0.41	9.216271	37.549965	46.766236
0.415	9.186051	37.570969	46.75702
0.42	9.144946	37.588226	46.733172
0.425	9.111118	37.596514	46.707632
0.43	9.112168	37.605077	46.717245
0.435	9.111972	37.616864	46.728836
0.44	9.168703	37.629453	46.798156
0.445	9.23135	37.625588	46.856938
0.45	9.25888	37.621704	46.880584
0.455	9.295451	37.619913	46.915364
0.46	9.273863	37.636662	46.910525
0.465	9.236428	37.62254	46.858968
0.47	9.212108	37.614468	46.826576
0.475	9.218245	37.638204	46.856449
0.48	9.214075	37.61948	46.833555
0.485	9.206258	37.605329	46.811587
0.49	9.201209	37.612132	46.813341
0.495	9.229435	37.659006	46.888441
0.5	9.223596	37.685421	46.909017
0.505	9.20484	37.691571	46.896411
0.51	9.183719	37.692349	46.876068
0.515	9.165704	37.672387	46.838091
0.52	9.147642	37.691292	46.838934
0.525	9.132346	37.681167	46.813513
0.53	9.125011	37.662827	46.787838
