Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-2.41776	3.497292	1.079532
0.005	-2.394149	3.501315	1.107166
0.01	-2.398295	3.513571	1.115276
0.015	-2.403895	3.543541	1.139646
0.02	-2.412822	3.555783	1.142961
0.025	-2.428873	3.547657	1.118784
0.03	-2.444902	3.53214	1.087238
0.035	-2.484851	3.529915	1.045064
0.04	-2.493867	3.535521	1.041654
0.045	-2.496362	3.533251	1.036889
0.05	-2.495155	3.525083	1.029928
0.055	-2.493593	3.526265	1.032672
0.06	-2.493076	3.549469	1.056393
0.065	-2.493493	3.525519	1.032026
0.07	-2.493617	3.523903	1.030286
0.075	-2.494693	3.544871	1.050178
0.08	-2.493803	3.500278	1.006475
0.085	-2.492408	3.472265	0.979857
0.09	-2.46595	3.494784	1.028834
0.095	-2.461225	3.496586	1.035361
0.1	-2.447867	3.475219	1.027352
0.105	-2.426173	3.460274	1.034101
0.11	-2.431718	3.4682	1.036482
0.115	-2.430995	3.471618	1.040623
0.12	-2.429189	3.472253	1.043064
0.125	-2.423883	3.457586	1.033703
0.13	-2.411486	3.45295	1.041464
0.135	-2.412755	3.464806	1.052051
0.14	-2.406068	3.45618	1.050112
0.145	-2.397238	3.454167	1.056929
0.15	-2.393093	3.445834	1.052741
0.155	-2.379758	3.445797	1.066039
0.16	-2.379217	3.469148	1.089931
0.165	-2.381466	3.457397	1.075931
0.17	-2.400828	3.412301	1.011473
0.175	-2.435962	3.423741	0.987779
0.18	-2.460912	3.389958	0.929046
0.185	-2.476008	3.363414	0.887406
0.19	-2.750554	3.328874	0.57832
0.195	-4.056054	3.287892	-0.768162
0.2	-5.349466	3.247969	-2.101497
0.205	-6.265562	3.194466	-3.071096
0.21	-7.956934	3.060973	-4.895961
0.215	-9.920268	2.931624	-6.988644
0.22	-11.324013	2.794955	-8.529058
0.225	-12.662596	2.589744	-10.072852
0.23	-14.017999	2.385869	-11.63213
0.235	-15.990509	2.167151	-13.823358
0.24	-17.477279	1.904669	-15.57261
0.245	-18.501812	1.637372	-16.86444
0.25	-19.687558	1.336679	-18.350879
0.255	-21.205547	1.052191	-20.153356
0.26	-22.415772	0.743509	-21.672263
0.265	-23.56519	0.383141	-23.182049
0.27	-24.867695	-0.021999	-24.889694
0.275	-25.610595	-0.402543	-26.013138
0.28	-26.014139	-0.833435	-26.847574
0.285	-26.97321	-1.269004	-28.242214
0.29	-27.841924	-1.766577	-29.608501
0.295	-28.543592	-2.274033	-30.817625
0.3	-28.841492	-2.802049	-31.643541
0.305	-28.240684	-3.357087	-31.597771
0.31	-29.308762	-3.982016	-33.290778
0.315	-31.216666	-4.622328	-35.838994
0.32	-32.991023	-5.312482	-38.303505
0.325	-36.17686	-5.99138	-42.16824
0.33	-39.763372	-6.746845	-46.510217
0.335	-41.473649	-7.575573	-49.049222
0.34	-41.750806	-8.351753	-50.102559
0.345	-41.274418	-9.193804	-50.468222
0.35	-42.373954	-10.072279	-52.446233
0.355	-43.140192	-10.987134	-54.127326
0.36	-39.970071	-11.867157	-51.837228
0.365	-37.441475	-12.810592	-50.252067
0.37	-37.474266	-13.751361	-51.225627
0.375	-40.79294	-14.718393	-55.511333
0.38	-41.371443	-15.688302	-57.059745
0.385	-40.713329	-16.692305	-57.405634
0.39	-40.309723	-17.723264	-58.032987
0.395	-38.332499	-18.74511	-57.077609
0.4	-37.413671	-19.79297	-57.206641
0.405	-40.403525	-20.849401	-61.252926
0.41	-41.749049	-21.896721	-63.64577
0.415	-42.887219	-22.981028	-65.868247
0.42	-42.543544	-24.098245	-66.641789
0.425	-40.817932	-25.16623	-65.984162
0.43	-38.117038	-26.235861	-64.352899
0.435	-36.909623	-27.299884	-64.209507
0.44	-36.438639	-28.391294	-64.829933
0.445	-36.136593	-29.451399	-65.587992
0.45	-35.257323	-30.568028	-65.825351
0.455	-33.71027	-31.635471	-65.345741
0.46	-32.641385	-32.691581	-65.332966
0.465	-31.377561	-33.770361	-65.147922
0.47	-30.570703	-34.787909	-65.358612
0.475	-30.263909	-35.826752	-66.090661
0.48	-30.107191	-36.869617	-66.976808
0.485	-29.011061	-37.878356	-66.889417
0.49	-27.007624	-38.869274	-65.876898
0.495	-24.791741	-39.815135	-64.606876
0.5	-22.803486	-40.851099	-63.654585
0.505	-20.846679	-41.759284	-62.605963
0.51	-18.991178	-42.675237	-61.666415
0.515	-17.631897	-43.625914	-61.257811
0.52	-16.85631	-44.487667	-61.343977
0.525	-15.895408	-45.282294	-61.177702
0.53	-14.778073	-46.203494	-60.981567
0.535	-13.521501	-46.959687	-60.481188
0.54	-12.632045	-47.689246	-60.321291
0.545	-11.520541	-48.439066	-59.959607
0.55	-11.02788	-49.182089	-60.209969
0.555	-10.654172	-49.820632	-60.474804
0.56	-10.326385	-50.522678	-60.849063
0.565	-9.690676	-51.098219	-60.788895
0.57	-8.846228	-51.667324	-60.513552
0.575	-8.388644	-52.282133	-60.670777
0.58	-8.121032	-52.786789	-60.907821
0.585	-7.695719	-53.281182	-60.976901
0.59	-7.597796	-53.761568	-61.359364
0.595	-8.241765	-54.256056	-62.497821
0.6	-9.078454	-54.620806	-63.69926
0.605	-10.826613	-55.026887	-65.8535
0.61	-12.570499	-55.435324	-68.005823
0.615	-13.631388	-55.751992	-69.38338
0.62	-14.352502	-56.104906	-70.457408
