Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	2.090804	-1.224367	0.866437
0.005	2.088056	-1.228189	0.859867
0.01	2.08376	-1.22763	0.85613
0.015	2.054385	-1.221943	0.832442
0.02	2.058309	-1.199164	0.859145
0.025	2.067899	-1.201728	0.866171
0.03	2.073483	-1.209447	0.864036
0.035	2.078311	-1.20168	0.876631
0.04	2.068601	-1.205379	0.863222
0.045	2.062419	-1.184526	0.877893
0.05	2.056768	-1.186358	0.87041
0.055	2.050236	-1.187804	0.862432
0.06	2.05508	-1.202218	0.852862
0.065	2.056524	-1.19666	0.859864
0.07	2.054975	-1.196106	0.858869
0.075	2.061907	-1.190825	0.871082
0.08	2.052374	-1.19562	0.856754
0.085	1.999844	-1.207782	0.792062
0.09	1.980978	-1.209482	0.771496
0.095	1.981449	-1.219747	0.761702
0.1	1.980245	-1.211435	0.76881
0.105	1.971386	-1.215047	0.756339
0.11	1.970155	-1.204724	0.765431
0.115	1.962752	-1.195059	0.767693
0.12	1.967968	-1.204562	0.763406
0.125	1.967282	-1.20306	0.764222
0.13	1.964791	-1.212754	0.752037
0.135	1.966961	-1.224781	0.74218
0.14	1.999332	-1.237911	0.761421
0.145	2.037794	-1.23102	0.806774
0.15	2.070924	-1.23476	0.836164
0.155	2.103767	-1.226716	0.877051
0.16	2.144955	-1.234695	0.91026
0.165	2.188225	-1.238817	0.949408
0.17	2.259684	-1.224329	1.035355
0.175	2.274908	-1.244649	1.030259
0.18	2.274987	-1.245556	1.029431
0.185	2.300233	-1.244183	1.05605
0.19	2.323387	-1.262253	1.061134
0.195	2.324304	-1.266856	1.057448
0.2	2.316009	-1.272295	1.043714
0.205	2.294244	-1.274551	1.019693
0.21	2.262005	-1.275738	0.986267
0.215	2.248134	-1.265665	0.982469
0.22	2.225855	-1.267305	0.95855
0.225	2.205582	-1.275999	0.929583
0.23	2.203622	-1.268197	0.935425
0.235	2.199352	-1.243871	0.955481
0.24	2.19813	-1.25866	0.93947
0.245	2.188348	-1.265572	0.922776
0.25	2.180657	-1.2722	0.908457
0.255	2.175269	-1.276502	0.898767
0.26	2.120373	-1.279279	0.841094
0.265	2.05702	-1.270474	0.786546
0.27	2.015534	-1.27029	0.745244
0.275	1.99116	-1.276196	0.714964
0.28	1.963488	-1.289283	0.674205
0.285	1.941108	-1.285851	0.655257
0.29	1.933343	-1.259133	0.67421
0.295	1.927145	-1.255702	0.671443
0.3	1.930243	-1.281959	0.648284
0.305	1.947184	-1.271492	0.675692
0.31	1.990442	-1.257622	0.73282
0.315	2.020602	-1.265939	0.754663
0.32	2.047264	-1.284778	0.762486
0.325	2.058664	-1.271242	0.787422
0.33	2.054439	-1.255449	0.79899
0.335	2.06085	-1.264825	0.796025
0.34	2.09794	-1.28631	0.81163
0.345	2.128087	-1.274241	0.853846
0.35	2.13592	-1.269596	0.866324
0.355	2.149232	-1.283379	0.865853
0.36	2.152086	-1.279784	0.872302
0.365	2.152282	-1.27096	0.881322
0.37	2.151342	-1.292512	0.85883
0.375	2.150733	-1.296702	0.854031
0.38	2.142947	-1.30717	0.835777
0.385	2.137234	-1.304861	0.832373
0.39	2.124905	-1.317062	0.807843
0.395	2.114366	-1.311595	0.802771
0.4	2.129712	-1.322094	0.807618
0.405	2.146123	-1.310235	0.835888
0.41	2.152898	-1.320493	0.832405
0.415	2.153402	-1.326435	0.826967
0.42	2.13914	-1.319123	0.820017
0.425	2.122289	-1.319727	0.802562
0.43	2.11992	-1.332079	0.787841
0.435	2.127399	-1.330776	0.796623
0.44	2.118772	-1.34336	0.775412
0.445	2.099612	-1.331591	0.768021
0.45	2.070076	-1.329261	0.740815
0.455	2.048931	-1.338947	0.709984
0.46	2.04422	-1.353675	0.690545
0.465	2.04053	-1.358905	0.681625
0.47	2.042361	-1.368067	0.674294
0.475	1.996739	-1.372259	0.62448
0.48	1.806602	-1.405837	0.400765
0.485	1.421056	-1.406369	0.014687
0.49	0.245478	-1.42096	-1.175482
0.495	-2.715086	-1.468115	-4.183201
0.5	-4.416053	-1.512974	-5.929027
0.505	-6.525279	-1.554714	-8.079993
0.51	-9.711464	-1.608776	-11.32024
0.515	-12.565193	-1.682806	-14.247999
0.52	-13.68342	-1.764433	-15.447853
0.525	-14.998885	-1.865715	-16.8646
0.53	-16.671108	-1.981054	-18.652162
0.535	-18.990655	-2.071411	-21.062066
0.54	-20.834011	-2.223819	-23.05783
0.545	-22.464938	-2.354403	-24.819341
0.55	-23.818658	-2.512156	-26.330814
0.555	-25.55689	-2.676862	-28.233752
