Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-0.964007	2.002149	1.038142
0.005	-0.961339	1.992979	1.03164
0.01	-0.973034	1.979544	1.00651
0.015	-0.952457	1.955365	1.002908
0.02	-0.941051	1.943583	1.002532
0.025	-0.940045	1.921366	0.981321
0.03	-0.942964	1.894802	0.951838
0.035	-0.936427	1.876008	0.939581
0.04	-0.919771	1.866368	0.946597
0.045	-0.897125	1.848368	0.951243
0.05	-0.859776	1.839129	0.979353
0.055	-0.857289	1.822186	0.964897
0.06	-0.84923	1.814326	0.965096
0.065	-0.831307	1.807286	0.975979
0.07	-0.792167	1.790321	0.998154
0.075	-0.766742	1.769658	1.002916
0.08	-0.727575	1.744808	1.017233
0.085	-0.681601	1.720948	1.039347
0.09	-0.655276	1.711799	1.056523
0.095	-0.625253	1.675204	1.049951
0.1	-0.587859	1.654045	1.066186
0.105	-0.538437	1.636326	1.097889
0.11	-0.507299	1.623375	1.116076
0.115	-0.460067	1.603935	1.143868
0.12	-0.314285	1.574429	1.260144
0.125	-0.198506	1.570196	1.37169
0.13	-0.169824	1.564891	1.395067
0.135	-0.185981	1.54943	1.363449
0.14	-0.204592	1.543067	1.338475
0.145	-0.227621	1.51894	1.291319
0.15	-0.244603	1.472862	1.228259
0.155	-0.24859	1.458551	1.209961
0.16	-0.241794	1.455038	1.213244
0.165	-0.252818	1.46028	1.207462
0.17	-0.268477	1.439983	1.171506
0.175	-0.280175	1.406652	1.126477
0.18	-0.290101	1.392163	1.102062
0.185	-0.298647	1.368304	1.069657
0.19	-0.280522	1.364077	1.083555
0.195	-0.267816	1.345422	1.077606
0.2	-0.235364	1.340957	1.105593
0.205	-0.212054	1.335199	1.123145
0.21	-0.190775	1.32675	1.135975
0.215	-0.18564	1.309107	1.123467
0.22	-0.194548	1.309096	1.114548
0.225	-0.205991	1.299196	1.093205
0.23	-0.222206	1.287159	1.064953
0.235	-0.228591	1.292239	1.063648
0.24	-0.227113	1.295438	1.068325
0.245	-0.232507	1.2906	1.058093
0.25	-0.239956	1.30708	1.067124
0.255	-0.308443	1.29471	0.986267
0.26	-0.339039	1.294357	0.955318
0.265	-0.360948	1.308378	0.94743
0.27	-0.370522	1.289705	0.919183
0.275	-0.371224	1.292465	0.921241
0.28	-0.36414	1.291317	0.927177
0.285	-0.347339	1.269743	0.922404
0.29	-0.336512	1.275461	0.938949
0.295	-0.298886	1.259728	0.960842
0.3	-0.257973	1.242629	0.984656
0.305	-0.229306	1.232423	1.003117
0.31	-0.21484	1.230505	1.015665
0.315	-0.217952	1.238964	1.021012
0.32	-0.216853	1.247162	1.030309
0.325	-0.221237	1.249229	1.027992
0.33	-0.23271	1.245267	1.012557
0.335	-0.236524	1.226091	0.989567
0.34	-0.242438	1.236157	0.993719
0.345	-0.249091	1.247617	0.998526
0.35	-0.27953	1.24396	0.96443
0.355	-0.285875	1.245826	0.959951
0.36	-0.30264	1.255623	0.952983
0.365	-0.309307	1.255718	0.946411
0.37	-0.313331	1.253855	0.940524
0.375	-0.318957	1.250428	0.931471
0.38	-0.34663	1.234332	0.887702
0.385	-0.391805	1.222983	0.831178
0.39	-0.407554	1.217008	0.809454
0.395	-0.408726	1.201741	0.793015
0.4	-0.398854	1.219029	0.820175
0.405	-0.398554	1.236175	0.837621
0.41	-0.39846	1.249094	0.850634
0.415	-0.390683	1.22325	0.832567
0.42	-0.344391	1.230224	0.885833
0.425	-0.289364	1.250749	0.961385
0.43	-0.234769	1.236535	1.001766
0.435	-0.226842	1.237577	1.010735
0.44	-0.225018	1.259632	1.034614
0.445	-0.240897	1.260496	1.019599
0.45	-0.228986	1.268321	1.039335
0.455	-0.22783	1.276781	1.048951
0.46	-0.232077	1.263181	1.031104
0.465	-0.253682	1.262146	1.008464
0.47	-0.287639	1.282092	0.994453
0.475	-0.294383	1.273721	0.979338
0.48	-0.311178	1.267565	0.956387
0.485	-0.322805	1.277102	0.954297
0.49	-0.325305	1.28464	0.959335
0.495	-0.328879	1.272409	0.94353
0.5	-0.317759	1.299361	0.981602
0.505	-0.307731	1.321539	1.013808
0.51	-0.307263	1.312061	1.004798
0.515	-0.306361	1.328209	1.021848
0.52	-0.321004	1.330076	1.009072
0.525	-0.331579	1.336601	1.005022
0.53	-0.332253	1.329453	0.9972
0.535	-0.313968	1.321495	1.007527
0.54	-0.309577	1.347651	1.038074
0.545	-0.292643	1.365059	1.072416
0.55	-0.252912	1.355876	1.102964
0.555	-0.26757	1.353759	1.086189
0.56	-0.278601	1.374052	1.095451
0.565	-0.28717	1.373851	1.086681
0.57	-0.396483	1.343224	0.946741
0.575	-0.445089	1.342225	0.897136
0.58	-0.462065	1.357898	0.895833
0.585	-0.480629	1.375384	0.894755
0.59	-0.51094	1.381151	0.870211
0.595	-0.51872	1.351442	0.832722
0.6	-0.525887	1.357906	0.832019
0.605	-0.531249	1.352558	0.821309
0.61	-0.524699	1.349341	0.824642
0.615	-0.53096	1.347337	0.816377
0.62	-0.550652	1.350669	0.800017
0.625	-0.558489	1.356382	0.797893
0.63	-0.559048	1.359356	0.800308
0.635	-0.609358	1.329966	0.720608
0.64	-0.611755	1.315957	0.704202
0.645	-0.612833	1.309043	0.69621
0.65	-0.658381	1.310572	0.652191
