Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	8.252103	-6.975324	1.276779
0.005	8.34082	-7.050859	1.289961
0.01	8.443002	-7.117303	1.325699
0.015	8.434455	-7.170783	1.263672
0.02	8.425773	-7.233415	1.192358
0.025	8.541318	-7.285086	1.256232
0.03	8.672028	-7.334199	1.337829
0.035	8.70173	-7.363949	1.337781
0.04	8.851504	-7.39764	1.453864
0.045	8.90367	-7.423884	1.479786
0.05	8.862168	-7.446915	1.415253
0.055	8.858865	-7.449415	1.40945
0.06	8.840915	-7.471843	1.369072
0.065	8.932011	-7.473232	1.458779
0.07	8.99574	-7.481483	1.514257
0.075	9.051258	-7.470604	1.580654
0.08	9.04997	-7.455564	1.594406
0.085	8.965214	-7.445298	1.519916
0.09	8.92144	-7.394255	1.527185
0.095	8.92639	-7.383192	1.543198
0.1	8.885178	-7.386325	1.498853
0.105	8.792405	-7.345177	1.447228
0.11	8.791173	-7.280007	1.511166
0.115	8.6873	-7.221859	1.465441
0.12	8.556864	-7.151597	1.405267
0.125	8.468242	-7.076063	1.392179
0.13	8.386169	-6.989855	1.396314
0.135	8.303104	-6.904628	1.398476
0.14	8.216947	-6.819873	1.397074
0.145	8.141097	-6.729931	1.411166
0.15	8.074975	-6.62285	1.452125
0.155	8.017454	-6.535922	1.481532
0.16	7.973349	-6.42481	1.548539
0.165	7.741832	-6.306383	1.435449
0.17	7.412728	-6.188798	1.22393
0.175	7.14115	-6.039916	1.101234
0.18	6.954348	-5.911732	1.042616
0.185	6.798836	-5.805505	0.993331
0.19	6.579448	-5.661649	0.917799
0.195	6.346552	-5.532039	0.814513
0.2	6.073294	-5.415015	0.658279
0.205	5.890291	-5.265773	0.624518
0.21	5.652561	-5.092407	0.560154
0.215	5.295563	-4.937079	0.358484
0.22	5.084599	-4.784582	0.300017
0.225	4.982309	-4.630336	0.351973
0.23	4.841884	-4.474163	0.367721
0.235	4.684755	-4.348578	0.336177
0.24	4.460326	-4.187939	0.272387
0.245	4.501849	-4.028911	0.472938
0.25	4.470879	-3.8773	0.593579
0.255	4.35561	-3.725705	0.629905
0.26	4.134207	-3.585154	0.549053
0.265	3.920834	-3.463794	0.45704
0.27	3.786273	-3.318546	0.467727
0.275	3.672699	-3.154937	0.517762
0.28	3.518025	-3.014299	0.503726
0.285	3.269866	-2.883239	0.386627
0.29	3.178253	-2.735144	0.443109
0.295	2.968875	-2.611755	0.35712
0.3	2.746873	-2.480066	0.266807
0.305	2.615646	-2.332718	0.282928
0.31	2.509395	-2.198064	0.311331
0.315	2.46203	-2.072773	0.389257
0.32	2.418948	-1.978941	0.440007
0.325	2.447122	-1.869629	0.577493
0.33	2.438939	-1.75323	0.685709
0.335	2.396418	-1.656216	0.740202
0.34	2.250349	-1.578675	0.671674
0.345	2.27276	-1.495946	0.776814
0.35	2.227191	-1.406674	0.820517
0.355	2.133454	-1.314013	0.819441
0.36	2.029316	-1.24688	0.782436
0.365	1.943911	-1.175948	0.767963
0.37	1.875007	-1.086387	0.78862
0.375	1.82357	-1.037393	0.786177
0.38	1.853809	-1.005358	0.848451
0.385	1.838993	-0.954546	0.884447
0.39	1.747674	-0.905991	0.841683
0.395	1.652265	-0.86908	0.783185
