Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-36.862313	-10.964544	-47.826857
0.005	-35.80246	-11.463604	-47.266064
0.01	-34.269168	-11.97973	-46.248898
0.015	-32.493725	-12.494675	-44.9884
0.02	-32.533029	-13.079187	-45.612216
0.025	-32.830671	-13.636666	-46.467337
0.03	-33.096752	-14.14538	-47.242132
0.035	-32.86708	-14.688597	-47.555677
0.04	-32.30727	-15.217229	-47.524499
0.045	-31.97127	-15.783456	-47.754726
0.05	-31.553746	-16.335875	-47.889621
0.055	-30.56366	-16.863841	-47.427501
0.06	-29.276944	-17.402874	-46.679818
0.065	-28.673847	-17.964002	-46.637849
0.07	-28.17583	-18.491018	-46.666848
0.075	-27.366753	-19.029263	-46.396016
0.08	-26.212836	-19.558069	-45.770905
0.085	-25.590898	-20.080076	-45.670974
0.09	-25.105899	-20.624408	-45.730307
0.095	-24.536073	-21.142292	-45.678365
0.1	-23.935367	-21.67485	-45.610217
0.105	-23.47079	-22.177226	-45.648016
0.11	-23.085084	-22.695479	-45.780563
0.115	-22.702363	-23.213348	-45.915711
0.12	-21.859386	-23.680385	-45.539771
0.125	-21.08513	-24.153758	-45.238888
0.13	-20.323729	-24.63695	-44.960679
0.135	-19.222336	-25.113863	-44.336199
0.14	-18.107916	-25.543375	-43.651291
0.145	-17.615733	-25.977157	-43.59289
0.15	-17.23305	-26.428117	-43.661167
0.155	-16.882141	-26.851772	-43.733913
0.16	-16.439952	-27.243548	-43.6835
0.165	-16.134337	-27.650979	-43.785316
0.17	-15.85472	-28.066248	-43.920968
0.175	-15.432665	-28.446203	-43.878868
0.18	-14.967666	-28.841539	-43.809205
0.185	-14.204246	-29.223387	-43.427633
0.19	-13.442865	-29.589133	-43.031998
0.195	-12.928328	-29.895699	-42.824027
0.2	-12.436271	-30.225123	-42.661394
0.205	-12.226583	-30.566287	-42.79287
0.21	-11.9878	-30.880776	-42.868576
0.215	-11.446705	-31.186007	-42.632712
0.22	-11.089457	-31.500771	-42.590228
0.225	-11.000676	-31.813547	-42.814223
0.23	-10.917153	-32.074233	-42.991386
0.235	-10.766669	-32.329564	-43.096233
0.24	-10.543833	-32.609576	-43.153409
0.245	-10.259292	-32.886586	-43.145878
0.25	-9.947954	-33.082471	-43.030425
0.255	-9.463926	-33.340032	-42.803958
0.26	-9.163944	-33.579093	-42.743037
0.265	-9.099665	-33.770841	-42.870506
0.27	-9.028084	-33.972859	-43.000943
0.275	-8.898966	-34.186337	-43.085303
0.28	-9.129848	-34.354347	-43.484195
0.285	-9.557595	-34.515525	-44.07312
0.29	-9.963528	-34.682989	-44.646517
0.295	-10.182258	-34.8311	-45.013358
0.3	-10.267129	-34.956931	-45.22406
0.305	-10.233991	-35.093861	-45.327852
0.31	-10.160176	-35.195343	-45.355519
0.315	-10.010166	-35.331591	-45.341757
0.32	-9.816696	-35.413325	-45.230021
0.325	-9.515367	-35.519436	-45.034803
0.33	-9.227275	-35.642831	-44.870106
0.335	-9.111522	-35.703234	-44.814756
0.34	-8.985058	-35.798306	-44.783364
0.345	-8.86293	-35.897447	-44.760377
0.35	-8.783535	-35.971181	-44.754716
0.355	-8.873004	-36.058537	-44.931541
0.36	-8.908398	-36.132748	-45.041146
0.365	-8.808524	-36.199584	-45.008108
0.37	-8.704787	-36.279934	-44.984721
0.375	-8.671347	-36.32773	-44.999077
0.38	-8.54681	-36.389711	-44.936521
0.385	-8.518431	-36.461546	-44.979977
0.39	-8.568409	-36.504445	-45.072854
0.395	-8.647498	-36.534211	-45.181709
0.4	-8.443236	-36.560936	-45.004172
0.405	-8.416833	-36.601314	-45.018147
0.41	-8.440324	-36.663687	-45.104011
0.415	-8.368137	-36.673979	-45.042116
0.42	-8.344569	-36.71174	-45.056309
0.425	-8.402249	-36.73952	-45.141769
0.43	-8.443805	-36.758396	-45.202201
0.435	-8.337116	-36.777353	-45.114469
0.44	-8.107144	-36.798332	-44.905476
0.445	-7.929353	-36.841519	-44.770872
0.45	-7.784986	-36.876387	-44.661373
0.455	-7.774264	-36.902851	-44.677115
0.46	-7.762885	-36.919804	-44.682689
0.465	-7.755394	-36.980734	-44.736128
0.47	-7.75311	-37.008819	-44.761929
0.475	-7.70263	-37.051866	-44.754496
0.48	-7.70791	-37.102406	-44.810316
0.485	-7.721825	-37.132479	-44.854304
0.49	-7.711122	-37.162453	-44.873575
0.495	-7.648508	-37.189699	-44.838207
0.5	-7.534207	-37.204603	-44.73881
0.505	-7.428495	-37.239666	-44.668161
0.51	-7.330253	-37.309811	-44.640064
0.515	-7.221459	-37.319418	-44.540877
0.52	-7.266349	-37.365292	-44.631641
0.525	-7.285277	-37.415622	-44.700899
0.53	-7.267417	-37.421916	-44.689333
0.535	-7.238057	-37.457455	-44.695512
0.54	-7.250321	-37.51943	-44.769751
0.545	-7.240007	-37.521803	-44.76181
0.55	-7.229449	-37.521877	-44.751326
0.555	-7.221579	-37.569975	-44.791554
0.56	-7.185745	-37.563143	-44.748888
0.565	-7.261021	-37.56396	-44.824981
0.57	-7.337834	-37.592111	-44.929945
0.575	-7.356131	-37.605168	-44.961299
0.58	-7.429002	-37.622781	-45.051783
0.585	-7.456895	-37.658601	-45.115496
0.59	-7.451154	-37.675448	-45.126602
0.595	-7.322962	-37.673413	-44.996375
0.6	-7.206224	-37.679419	-44.885643
0.605	-7.140446	-37.70182	-44.842266
0.61	-7.059284	-37.714105	-44.773389
0.615	-6.986226	-37.698253	-44.684479
0.62	-6.963503	-37.701068	-44.664571
