Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-2.486157	2.820615	0.334458
0.005	-2.372447	2.878226	0.505779
0.01	-2.280489	2.897444	0.616955
0.015	-2.249376	2.934096	0.68472
0.02	-2.270651	2.938594	0.667943
0.025	-2.1726	2.920762	0.748162
0.03	-2.067788	2.921047	0.853259
0.035	-1.939665	2.908341	0.968676
0.04	-1.817809	2.910996	1.093187
0.045	-1.772088	2.884968	1.11288
0.05	-1.73208	2.871851	1.139771
0.055	-1.689316	2.852094	1.162778
0.06	-1.623536	2.806678	1.183142
0.065	-1.553852	2.759143	1.205291
0.07	-1.516947	2.7219	1.204953
0.075	-1.433698	2.671538	1.23784
0.08	-1.351695	2.618606	1.266911
0.085	-1.280629	2.535353	1.254724
0.09	-1.183762	2.479539	1.295777
0.095	-1.10894	2.420369	1.311429
0.1	-1.049131	2.365984	1.316853
0.105	-0.98963	2.291945	1.302315
0.11	-0.935498	2.190661	1.255163
0.115	-0.891313	2.125942	1.234629
0.12	-0.843144	2.057217	1.214073
0.125	-0.794935	1.947692	1.152757
0.13	-0.753589	1.85605	1.102461
0.135	-0.72176	1.757795	1.036035
0.14	-0.693873	1.675832	0.981959
0.145	-0.664055	1.567428	0.903373
0.15	-0.633876	1.450171	0.816295
0.155	-0.608654	1.313638	0.704984
0.16	-0.554925	1.153027	0.598102
0.165	-0.464675	1.026013	0.561338
0.17	-0.290244	0.893933	0.603689
0.175	-0.038594	0.766666	0.728072
0.18	0.365407	0.6434	1.008807
0.185	0.758823	0.494528	1.253351
0.19	1.011141	0.347947	1.359088
0.195	1.197585	0.226626	1.424211
0.2	1.345966	0.047867	1.393833
0.205	1.52863	-0.128987	1.399643
0.21	1.898243	-0.303761	1.594482
0.215	2.267047	-0.451383	1.815664
0.22	2.446732	-0.610026	1.836706
0.225	2.602432	-0.802445	1.799987
0.23	2.768598	-0.955838	1.81276
0.235	2.926971	-1.137602	1.789369
0.24	2.987945	-1.329223	1.658722
0.245	3.041672	-1.535681	1.505991
0.25	3.120004	-1.692276	1.427728
0.255	3.200711	-1.875266	1.325445
0.26	3.433582	-2.069398	1.364184
0.265	3.668926	-2.271868	1.397058
0.27	3.942436	-2.46965	1.472786
0.275	4.341897	-2.668154	1.673743
0.28	4.528509	-2.872417	1.656092
0.285	4.736735	-3.051308	1.685427
0.29	5.098418	-3.23728	1.861138
0.295	5.262404	-3.444964	1.81744
0.3	5.495904	-3.638932	1.856972
0.305	5.754079	-3.83034	1.923739
0.31	6.020563	-4.019268	2.001295
0.315	6.378268	-4.182277	2.195991
0.32	6.561779	-4.367994	2.193785
0.325	6.682082	-4.531178	2.150904
0.33	6.796296	-4.68386	2.112436
0.335	6.92111	-4.836257	2.084853
0.34	7.107288	-4.980485	2.126803
0.345	7.313359	-5.122451	2.190908
0.35	7.502854	-5.266074	2.23678
0.355	7.66903	-5.387623	2.281407
0.36	7.878227	-5.493198	2.385029
0.365	8.091141	-5.626863	2.464278
0.37	8.197847	-5.719496	2.478351
0.375	8.241648	-5.803127	2.438521
0.38	8.241019	-5.91635	2.324669
0.385	8.216462	-5.97847	2.237992
0.39	8.209883	-6.042397	2.167486
0.395	8.243715	-6.125908	2.117807
0.4	8.294317	-6.194653	2.099664
0.405	8.349471	-6.257688	2.091783
0.41	8.394933	-6.24738	2.147553
