Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	2.066617	10.685922	12.752539
0.005	2.056999	10.679543	12.736542
0.01	2.051327	10.651433	12.70276
0.015	2.050745	10.657512	12.708257
0.02	2.04957	10.665857	12.715427
0.025	2.054925	10.658774	12.713699
0.03	2.058723	10.641227	12.69995
0.035	2.091296	10.680906	12.772202
0.04	2.101033	10.67376	12.774793
0.045	2.076454	10.637422	12.713876
0.05	2.059349	10.641213	12.700562
0.055	2.039068	10.63886	12.677928
0.06	2.028885	10.662634	12.691519
0.065	2.078452	10.646446	12.724898
0.07	2.125946	10.636098	12.762044
0.075	2.165815	10.640761	12.806576
0.08	2.170205	10.622918	12.793123
0.085	2.208362	10.638671	12.847033
0.09	2.2305	10.619049	12.849549
0.095	2.221644	10.639779	12.861423
0.1	2.188262	10.656932	12.845194
0.105	2.099998	10.643199	12.743197
0.11	2.030925	10.620506	12.651431
0.115	2.004857	10.639151	12.644008
0.12	2.002917	10.646954	12.649871
0.125	1.998579	10.621369	12.619948
0.13	2.01449	10.623476	12.637966
0.135	2.031575	10.600548	12.632123
0.14	2.025893	10.616314	12.642207
0.145	2.026746	10.621967	12.648713
0.15	2.027336	10.603247	12.630583
0.155	2.028921	10.595078	12.623999
0.16	2.036269	10.586961	12.62323
0.165	2.037989	10.57507	12.613059
0.17	2.048777	10.541771	12.590548
0.175	2.082654	10.507411	12.590065
0.18	2.142423	10.459293	12.601716
0.185	2.105897	10.428389	12.534286
0.19	2.074874	10.386235	12.461109
0.195	1.829568	10.336284	12.165852
0.2	0.824148	10.232734	11.056882
0.205	-0.914788	10.137635	9.222847
0.21	-3.360528	10.013054	6.652526
0.215	-6.624959	9.840267	3.215308
0.22	-10.154541	9.686198	-0.468343
0.225	-11.437842	9.564092	-1.87375
0.23	-12.944824	9.38434	-3.560484
0.235	-14.696435	9.195026	-5.501409
0.24	-16.735286	9.029409	-7.705877
0.245	-17.22401	8.817204	-8.406806
0.25	-17.493123	8.583853	-8.90927
0.255	-17.46985	8.39937	-9.07048
0.26	-17.388891	8.14651	-9.242381
0.265	-17.234132	7.921558	-9.312574
0.27	-17.188925	7.700586	-9.488339
0.275	-17.195401	7.454604	-9.740797
0.28	-16.939449	7.230183	-9.709266
0.285	-16.726266	6.994728	-9.731538
0.29	-16.535474	6.735171	-9.800303
0.295	-16.448173	6.504471	-9.943702
0.3	-15.98892	6.23976	-9.74916
0.305	-15.554038	6.023627	-9.530411
0.31	-15.122412	5.76819	-9.354222
0.315	-14.887526	5.53505	-9.352476
0.32	-14.617318	5.318721	-9.298597
0.325	-14.390525	5.097416	-9.293109
0.33	-14.239977	4.855455	-9.384522
0.335	-14.096015	4.621831	-9.474184
0.34	-13.970125	4.423839	-9.546286
0.345	-13.844492	4.185884	-9.658608
0.35	-13.624263	3.978606	-9.645657
0.355	-13.317189	3.817003	-9.500186
0.36	-12.886367	3.633184	-9.253183
0.365	-12.662963	3.431287	-9.231676
0.37	-12.399408	3.259469	-9.139939
0.375	-12.181647	3.12002	-9.061627
0.38	-11.881357	2.952643	-8.928714
0.385	-11.619557	2.79732	-8.822237
0.39	-11.354443	2.655015	-8.699428
0.395	-11.087129	2.500978	-8.586151
0.4	-10.837035	2.37391	-8.463125
0.405	-10.803287	2.248056	-8.555231
0.41	-10.739864	2.129181	-8.610683
0.415	-10.626179	2.030708	-8.595471
0.42	-10.513167	1.886546	-8.626621
0.425	-10.394326	1.794812	-8.599514
0.43	-10.282746	1.711492	-8.571254
0.435	-10.219209	1.641679	-8.57753
0.44	-10.067799	1.537604	-8.530195
0.445	-9.791609	1.478285	-8.313324
0.45	-9.435555	1.415486	-8.020069
0.455	-9.006271	1.342282	-7.663989
0.46	-8.72014	1.284695	-7.435445
0.465	-8.558215	1.237687	-7.320528
0.47	-8.412893	1.186845	-7.226048
0.475	-8.264172	1.147435	-7.116737
0.48	-8.050155	1.087531	-6.962624
0.485	-7.831861	1.041502	-6.790359
0.49	-7.681958	1.014504	-6.667454
0.495	-7.555143	1.00284	-6.552303
0.5	-7.466115	0.971857	-6.494258
0.505	-7.378555	0.921066	-6.457489
0.51	-7.270817	0.907868	-6.362949
0.515	-7.193172	0.892582	-6.30059
0.52	-7.129586	0.901157	-6.228429
0.525	-7.082435	0.884729	-6.197706
0.53	-7.094758	0.87307	-6.221688
0.535	-7.140212	0.872476	-6.267736
0.54	-7.174828	0.859567	-6.315261
0.545	-7.204289	0.878995	-6.325294
0.55	-7.205607	0.881172	-6.324435
0.555	-7.151859	0.862098	-6.289761
0.56	-7.163101	0.878572	-6.284529
0.565	-7.189198	0.889992	-6.299206
0.57	-7.203102	0.900818	-6.302284
0.575	-7.211319	0.892069	-6.31925
0.58	-7.132358	0.884111	-6.248247
0.585	-7.042003	0.878397	-6.163606
0.59	-6.989618	0.864066	-6.125552
0.595	-6.981893	0.862351	-6.119542
0.6	-7.005649	0.871272	-6.134377
0.605	-7.028414	0.866986	-6.161428
0.61	-7.049413	0.853387	-6.196026
0.615	-7.069506	0.861635	-6.207871
0.62	-7.086902	0.854975	-6.231927
0.625	-7.093433	0.866789	-6.226644
0.63	-7.066253	0.867577	-6.198676
0.635	-7.039179	0.843888	-6.195291
0.64	-7.055463	0.850671	-6.204792
0.645	-7.078347	0.842173	-6.236174
0.65	-7.073356	0.827561	-6.245795
0.655	-7.07501	0.878957	-6.196053
0.66	-7.062589	0.874618	-6.187971
0.665	-7.045723	0.858317	-6.187406
0.67	-7.020933	0.861453	-6.15948
0.675	-6.947838	0.86665	-6.081188
0.68	-6.902983	0.874956	-6.028027
0.685	-6.87018	0.879698	-5.990482
0.69	-6.862958	0.894488	-5.96847
0.695	-6.866678	0.879876	-5.986802
0.7	-6.879629	0.889548	-5.990081
0.705	-6.897877	0.873278	-6.024599
0.71	-6.907517	0.846021	-6.061496
0.715	-6.920149	0.851118	-6.069031
0.72	-6.940495	0.876168	-6.064327
0.725	-6.96047	0.876075	-6.084395
0.73	-6.979628	0.887358	-6.09227
0.735	-6.982945	0.868567	-6.114378
0.74	-6.916223	0.859025	-6.057198
0.745	-6.848959	0.877854	-5.971105
0.75	-6.762681	0.860457	-5.902224
0.755	-6.680758	0.856237	-5.824521
0.76	-6.697428	0.86434	-5.833088
0.765	-6.722834	0.857808	-5.865026
0.77	-6.749782	0.867224	-5.882558
0.775	-6.772996	0.845981	-5.927015
0.78	-6.803017	0.847574	-5.955443
0.785	-6.834326	0.866443	-5.967883
0.79	-6.86499	0.867973	-5.997017
0.795	-6.897568	0.878632	-6.018936
0.8	-6.927652	0.88806	-6.039592
0.805	-6.954455	0.890575	-6.06388
0.81	-6.971595	0.893349	-6.078246
0.815	-6.975511	0.893696	-6.081815
0.82	-6.971802	0.906126	-6.065676
0.825	-6.968991	0.910404	-6.058587
0.83	-6.970618	0.907523	-6.063095
0.835	-6.983322	0.911406	-6.071916
0.84	-7.006383	0.943753	-6.06263
0.845	-7.032142	0.928695	-6.103447
0.85	-7.068987	0.954038	-6.114949
0.855	-7.102788	0.984744	-6.118044
0.86	-7.117065	1.009958	-6.107107
0.865	-7.062397	1.021989	-6.040408
0.87	-6.42905	1.015273	-5.413777
0.875	-5.330966	1.071675	-4.259291
0.88	-3.521737	1.102187	-2.41955
0.885	-1.564675	1.140393	-0.424282
0.89	0.675183	1.163777	1.83896
0.895	3.109036	1.200523	4.309559
0.9	4.736716	1.251497	5.988213
0.905	6.120988	1.33315	7.454138
0.91	6.979281	1.394527	8.373808
0.915	7.870374	1.469094	9.339468
0.92	8.691147	1.576238	10.267385
0.925	9.4959	1.653973	11.149873
0.93	9.939869	1.735179	11.675048
0.935	9.97646	1.851184	11.827644
0.94	10.072619	1.966556	12.039175
0.945	10.179599	2.1077	12.287299
0.95	10.399174	2.264532	12.663706
0.955	10.524896	2.423146	12.948042
0.96	10.600228	2.555097	13.155325
0.965	10.729512	2.685784	13.415296
0.97	10.852834	2.832932	13.685766
0.975	10.637111	2.995143	13.632254
0.98	10.356171	3.173839	13.53001
0.985	10.085744	3.336381	13.422125
0.99	9.91669	3.508718	13.425408
0.995	9.769905	3.682531	13.452436
1	9.54203	3.875122	13.417152
1.005	9.335092	4.040895	13.375987
1.01	9.266908	4.183073	13.449981
1.015	9.066559	4.363196	13.429755
1.02	9.156272	4.532418	13.68869
1.025	9.289045	4.700701	13.989746
1.03	9.162511	4.873356	14.035867
1.035	9.107043	5.038375	14.145418
1.04	8.989465	5.228622	14.218087
1.045	8.785095	5.370403	14.155498
1.05	8.604356	5.539187	14.143543
1.055	8.481028	5.691117	14.172145
1.06	8.273459	5.840384	14.113843
1.065	8.016417	5.996755	14.013172
1.07	7.765855	6.132705	13.89856
1.075	7.684576	6.276704	13.96128
1.08	7.546863	6.434029	13.980892
1.085	7.372669	6.587374	13.960043
1.09	7.128926	6.730995	13.859921
1.095	7.008677	6.87519	13.883867
1.1	6.829816	7.016477	13.846293
1.105	6.668342	7.136141	13.804483
1.11	6.661032	7.263143	13.924175
1.115	6.689455	7.393142	14.082597
1.12	6.608999	7.489802	14.098801
1.125	6.52125	7.571527	14.092777
1.13	6.496462	7.668475	14.164937
1.135	6.410082	7.792783	14.202865
1.14	6.279511	7.88929	14.168801
1.145	6.150666	7.934346	14.085012
1.15	6.046326	8.012553	14.058879
1.155	5.96127	8.095992	14.057262
1.16	5.861105	8.175521	14.036626
1.165	5.756077	8.24447	14.000547
1.17	5.65555	8.301898	13.957448
1.175	5.547233	8.370377	13.91761
1.18	5.401788	8.429994	13.831782
1.185	5.231046	8.47708	13.708126
1.19	5.011684	8.5437	13.555384
1.195	4.810938	8.598178	13.409116
1.2	4.711702	8.640326	13.352028
1.205	4.639013	8.666167	13.30518
1.21	4.542201	8.710759	13.25296
1.215	4.382243	8.751578	13.133821
1.22	4.28948	8.784165	13.073645
1.225	4.235591	8.851868	13.087459
1.23	4.210739	8.856874	13.067613
1.235	4.147993	8.877641	13.025634
1.24	4.092728	8.900286	12.993014
1.245	4.069167	8.932201	13.001368
1.25	4.066343	8.935657	13.002
1.255	4.052607	8.95118	13.003787
1.26	4.041124	8.975351	13.016475
1.265	4.046152	8.976797	13.022949
1.27	4.03264	9.001536	13.034176
1.275	4.013595	9.005078	13.018673
1.28	3.993123	9.004589	12.997712
1.285	3.992359	9.009425	13.001784
1.29	3.992519	9.01375	13.006269
1.295	3.973982	9.015052	12.989034
1.3	3.950546	9.022365	12.972911
1.305	3.95583	9.053518	13.009348
1.31	3.965342	9.040866	13.006208
1.315	3.933102	9.024494	12.957596
1.32	3.876205	9.0198	12.896005
1.325	3.816678	9.022916	12.839594
1.33	3.78	9.007004	12.787004
1.335	3.744431	8.975439	12.71987
1.34	3.706123	8.997541	12.703664
1.345	3.713548	8.977756	12.691304
1.35	3.70292	8.969739	12.672659
1.355	3.639206	8.973994	12.6132
1.36	3.55464	8.978756	12.533396
1.365	3.57151	8.968257	12.539767
1.37	3.584762	8.958386	12.543148
1.375	3.608557	8.956608	12.565165
1.38	3.631619	8.964454	12.596073
1.385	3.642861	8.971596	12.614457
1.39	3.612795	8.952536	12.565331
1.395	3.596401	8.967521	12.563922
1.4	3.590119	8.965709	12.555828
1.405	3.524714	8.950528	12.475242
1.41	3.46568	8.952286	12.417966
1.415	3.409507	8.922097	12.331604
1.42	3.330699	8.926848	12.257547
1.425	3.304304	8.953328	12.257632
1.43	3.307987	8.94866	12.256647
1.435	3.311683	8.921742	12.233425
1.44	3.298583	8.926048	12.224631
1.445	3.312725	8.938141	12.250866
1.45	3.325579	8.936079	12.261658
1.455	3.337253	8.911014	12.248267
1.46	3.354288	8.921411	12.275699
1.465	3.369675	8.930181	12.299856
1.47	3.377745	8.926286	12.304031
1.475	3.39529	8.95113	12.34642
1.48	3.411683	8.949165	12.360848
1.485	3.41758	8.933093	12.350673
1.49	3.412419	8.93725	12.349669
1.495	3.386756	8.919025	12.305781
1.5	3.346117	8.929647	12.275764
1.505	3.347922	8.924808	12.27273
1.51	3.365756	8.932013	12.297769
1.515	3.377369	8.929225	12.306594
1.52	3.388275	8.926833	12.315108
1.525	3.404294	8.916013	12.320307
1.53	3.427339	8.893684	12.321023
1.535	3.446539	8.889294	12.335833
1.54	3.46875	8.892224	12.360974
1.545	3.477548	8.876598	12.354146
1.55	3.492882	8.841567	12.334449
1.555	3.495084	8.825586	12.32067
1.56	3.483672	8.809517	12.293189
1.565	3.481652	8.760851	12.242503
1.57	3.494314	8.728947	12.223261
1.575	3.525254	8.688677	12.213931
1.58	3.57104	8.609863	12.180903
1.585	3.573675	8.539322	12.112997
1.59	3.436295	8.445353	11.881648
1.595	2.183139	8.360382	10.543521
1.6	0.29123	8.249411	8.540641
1.605	-2.274062	8.131959	5.857897
1.61	-5.190589	8.025517	2.834928
1.615	-7.351973	7.884701	0.532728
1.62	-9.328553	7.697581	-1.630972
1.625	-11.202588	7.558897	-3.643691
1.63	-13.032436	7.37034	-5.662096
1.635	-13.984246	7.212348	-6.771898
1.64	-14.77997	7.029204	-7.750766
1.645	-15.133338	6.82052	-8.312818
1.65	-15.374617	6.628457	-8.74616
1.655	-15.230032	6.431754	-8.798278
1.66	-14.933151	6.228932	-8.704219
1.665	-14.675159	6.034316	-8.640843
1.67	-14.269087	5.83206	-8.437027
1.675	-14.093552	5.622368	-8.471184
1.68	-14.023738	5.378527	-8.645211
