Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-1.188346	3.670144	2.481798
0.005	-1.189462	3.661816	2.472354
0.01	-1.171028	3.672194	2.501166
0.015	-1.114542	3.673998	2.559456
0.02	-1.017502	3.693858	2.676356
0.025	-0.937617	3.715781	2.778164
0.03	-0.662682	3.748537	3.085855
0.035	-0.479358	3.798375	3.319017
0.04	-0.376915	3.840266	3.463351
0.045	-0.269143	3.889882	3.620739
0.05	-0.275311	3.94822	3.672909
0.055	-0.270076	3.983483	3.713407
0.06	-0.259527	4.024786	3.765259
0.065	-0.144686	4.061908	3.917222
0.07	-0.088671	4.091051	4.00238
0.075	-0.114954	4.117611	4.002657
0.08	-0.14072	4.119533	3.978813
0.085	-0.164649	4.147676	3.983027
0.09	-0.193608	4.151503	3.957895
0.095	-0.23978	4.148091	3.908311
0.1	-0.272431	4.122271	3.84984
0.105	-0.350716	4.118131	3.767415
0.11	-0.470182	4.128498	3.658316
0.115	-0.523713	4.126366	3.602653
0.12	-0.546625	4.138511	3.591886
0.125	-0.550278	4.149136	3.598858
0.13	-0.539858	4.123134	3.583276
0.135	-0.54465	4.083476	3.538826
0.14	-0.548031	4.057966	3.509935
0.145	-0.543225	4.078198	3.534973
0.15	-0.525726	4.078308	3.552582
0.155	-0.474995	4.051197	3.576202
0.16	-0.430699	4.030979	3.60028
0.165	-0.449856	4.0198	3.569944
0.17	-0.457915	3.989654	3.531739
0.175	-0.462851	3.95993	3.497079
0.18	-0.471803	3.952977	3.481174
0.185	-0.478119	3.95829	3.480171
0.19	-0.501983	3.937654	3.435671
0.195	-0.506559	3.920097	3.413538
0.2	-0.501333	3.895049	3.393716
0.205	-0.511051	3.881707	3.370656
0.21	-0.514837	3.886961	3.372124
0.215	-0.498333	3.886082	3.387749
0.22	-0.487262	3.89037	3.403108
0.225	-0.454298	3.904277	3.449979
0.23	-0.311167	3.927954	3.616787
0.235	-0.300815	3.930201	3.629386
0.24	-0.239897	3.923226	3.683329
0.245	-0.151242	3.951172	3.79993
0.25	-0.086149	3.962633	3.876484
0.255	-0.074794	3.987564	3.91277
0.26	-0.027568	3.999915	3.972347
0.265	0.000273	4.020417	4.02069
0.27	0.050291	4.037788	4.088079
0.275	0.100476	4.039848	4.140324
0.28	0.143226	4.05374	4.196966
0.285	0.158328	4.06385	4.222178
0.29	0.157893	4.08321	4.241103
0.295	0.148732	4.097433	4.246165
0.3	0.126614	4.100274	4.226888
0.305	0.106776	4.11581	4.222586
0.31	0.092111	4.121184	4.213295
0.315	0.075324	4.13471	4.210034
0.32	0.030767	4.140982	4.171749
0.325	0.008064	4.133141	4.141205
0.33	-0.041777	4.125529	4.083752
0.335	-0.07487	4.124548	4.049678
0.34	-0.084293	4.129789	4.045496
0.345	-0.093379	4.135297	4.041918
0.35	-0.101036	4.123536	4.0225
0.355	-0.118164	4.122541	4.004377
0.36	-0.13475	4.122632	3.987882
0.365	-0.159691	4.10989	3.950199
0.37	-0.237848	4.120746	3.882898
0.375	-0.319318	4.120707	3.801389
0.38	-0.383969	4.11766	3.733691
0.385	-0.471669	4.128257	3.656588
0.39	-0.475748	4.128197	3.652449
0.395	-0.482866	4.129203	3.646337
0.4	-0.483178	4.132742	3.649564
0.405	-0.487491	4.150854	3.663363
0.41	-0.504696	4.176428	3.671732
0.415	-0.553752	4.201817	3.648065
0.42	-0.622979	4.226599	3.60362
0.425	-0.688942	4.25487	3.565928
0.43	-0.725201	4.279212	3.554011
0.435	-0.750432	4.298508	3.548076
0.44	-0.751256	4.33126	3.580004
0.445	-0.758035	4.359137	3.601102
0.45	-0.751069	4.371022	3.619953
0.455	-0.737226	4.398399	3.661173
0.46	-0.713511	4.412329	3.698818
0.465	-0.708485	4.442051	3.733566
0.47	-0.73569	4.477269	3.741579
0.475	-0.74952	4.505989	3.756469
0.48	-0.765342	4.542067	3.776725
0.485	-0.772596	4.574535	3.801939
0.49	-0.800965	4.598979	3.798014
0.495	-0.814142	4.612904	3.798762
0.5	-0.845642	4.644409	3.798767
0.505	-0.891843	4.681177	3.789334
0.51	-0.975814	4.701307	3.725493
0.515	-1.046627	4.717084	3.670457
0.52	-1.072899	4.767926	3.695027
0.525	-1.096857	4.801437	3.70458
0.53	-1.101248	4.834635	3.733387
0.535	-1.109634	4.887927	3.778293
0.54	-1.165657	4.937846	3.772189
0.545	-1.180283	5.009229	3.828946
0.55	-1.16614	5.084457	3.918317
0.555	-1.156319	5.181234	4.024915
0.56	-1.145759	5.315568	4.169809
0.565	-1.15268	5.466476	4.313796
0.57	-1.136759	5.646444	4.509685
0.575	-0.984483	5.857394	4.872911
0.58	-0.254055	6.136296	5.882241
0.585	1.504486	6.433853	7.938339
0.59	3.666341	6.774505	10.440846
0.595	5.873765	7.149227	13.022992
0.6	8.200848	7.538655	15.739503
0.605	11.164994	7.954027	19.119021
0.61	12.74077	8.402235	21.143005
0.615	13.960572	8.895799	22.856371
0.62	15.799043	9.365008	25.164051
0.625	19.416858	9.852659	29.269517
0.63	22.84169	10.348232	33.189922
0.635	25.905277	10.883678	36.788955
0.64	28.373029	11.416913	39.789942
0.645	31.383147	11.963606	43.346753
0.65	34.086585	12.515225	46.60181
0.655	35.52215	13.082075	48.604225
0.66	36.621739	13.642141	50.26388
0.665	39.739319	14.227651	53.96697
0.67	41.274037	14.837803	56.11184
0.675	42.647696	15.429785	58.077481
0.68	44.223119	16.030312	60.253431
0.685	44.795226	16.656473	61.451699
0.69	45.938199	17.256722	63.194921
0.695	46.571984	17.856324	64.428308
0.7	45.120636	18.445308	63.565944
0.705	43.048678	19.039308	62.087986
0.71	41.159733	19.644248	60.803981
0.715	39.866956	20.238278	60.105234
0.72	39.394192	20.838341	60.232533
0.725	38.758895	21.44678	60.205675
0.73	37.903694	22.031975	59.935669
0.735	37.164598	22.663184	59.827782
