Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	-1.444315	5.19598	3.751665
0.005	-1.379478	5.16849	3.789012
0.01	-1.347068	5.19215	3.845082
0.015	-1.319203	5.21368	3.894477
0.02	-1.280964	5.19766	3.916696
0.025	-1.236364	5.179325	3.942961
0.03	-1.210521	5.147555	3.937034
0.035	-1.191537	5.161247	3.96971
0.04	-1.168558	5.17527	4.006712
0.045	-1.194268	5.175159	3.980891
0.05	-1.206825	5.19349	3.986665
0.055	-1.202998	5.211502	4.008504
0.06	-1.181158	5.194045	4.012887
0.065	-1.160535	5.183738	4.023203
0.07	-1.240786	5.173031	3.932245
0.075	-1.309438	5.170004	3.860566
0.08	-1.609131	5.1986	3.589469
0.085	-1.847408	5.216421	3.369013
0.09	-2.035781	5.232996	3.197215
0.095	-2.112857	5.221926	3.109069
0.1	-2.028183	5.219393	3.19121
0.105	-1.95486	5.211793	3.256933
0.11	-1.852523	5.216142	3.363619
0.115	-1.774328	5.239724	3.465396
0.12	-1.713156	5.234979	3.521823
0.125	-1.600048	5.246246	3.646198
0.13	-1.548245	5.24685	3.698605
0.135	-1.483432	5.249129	3.765697
0.14	-1.201424	5.25772	4.056296
0.145	-0.489057	5.225549	4.736492
0.15	0.208464	5.225469	5.433933
0.155	1.824109	5.221348	7.045457
0.16	3.91404	5.240398	9.154438
0.165	4.470403	5.224637	9.69504
0.17	3.698889	5.236848	8.935737
0.175	3.024967	5.261591	8.286558
0.18	2.964279	5.248253	8.212532
0.185	3.921054	5.230064	9.151118
0.19	7.488305	5.245656	12.733961
0.195	12.251153	5.254577	17.50573
0.2	17.57344	5.271279	22.844719
0.205	20.94331	5.277468	26.220778
0.21	21.496993	5.285697	26.78269
0.215	22.198315	5.310224	27.508539
0.22	18.853376	5.326393	24.179769
0.225	18.379982	5.35507	23.735052
0.23	16.63942	5.3739	22.01332
0.235	15.095884	5.381288	20.477172
0.24	16.112764	5.387485	21.500249
0.245	13.397969	5.409918	18.807887
0.25	11.57115	5.434483	17.005633
0.255	10.788131	5.457197	16.245328
0.26	10.70567	5.480631	16.186301
0.265	9.668332	5.49302	15.161352
0.27	9.029834	5.527107	14.556941
0.275	8.450993	5.513796	13.964789
0.28	8.019617	5.51094	13.530557
0.285	6.836759	5.542433	12.379192
0.29	5.471271	5.519831	10.991102
0.295	4.200782	5.498076	9.698858
0.3	3.348366	5.469532	8.817898
0.305	2.684605	5.458969	8.143574
0.31	2.081414	5.418777	7.500191
0.315	1.577439	5.366616	6.944055
0.32	1.033168	5.352304	6.385472
0.325	0.598314	5.310465	5.908779
0.33	0.218236	5.258918	5.477154
0.335	0.015769	5.19252	5.208289
0.34	0.184879	5.121308	5.306187
0.345	0.105187	5.065672	5.170859
0.35	-0.077366	5.024017	4.946651
0.355	-0.171243	4.970268	4.799025
0.36	-0.311846	4.920005	4.608159
0.365	-0.43411	4.858255	4.424145
0.37	-0.535503	4.804931	4.269428
